dropout_rate;hidden_channels;learning_rate;batch_size;epochs;amount_of_layers;optimizer;activation_function;pooling_algorithm;acc;f1;roc;pr;time;seed
0.627974311;23;0.063616547;53;16;2;adam;tanh;sum;0.736842105;0.848484848;0.082142857;0.736842105;00:00:00;115
0.737637211;120;0.095132456;18;187;1;SGD;sigmoid;sum;0.263157895;0;0.0875;0.736842105;00:00:06;137
0.438561951;13;0.028215002;57;136;1;adam;sigmoid;sum;0.736842105;0.848484848;0.089285714;0.736842105;00:00:02;198
0.255644936;20;0.012038528;139;47;8;rmsprop;relu;sum;0.736842105;0.848484848;0.089285714;0.736842105;00:00:01;109
0.67429313;17;0.088690295;116;11;4;adam;tanh;sum;0.736842105;0.848484848;0.089285714;0.736842105;00:00:00;126
0.268577737;12;0.091905111;62;19;5;adam;tanh;sum;0.736842105;0.848484848;0.089285714;0.736842105;00:00:01;156
0.714085339;49;0.006386079;47;65;8;adam;tanh;sum;0.736842105;0.848484848;0.091071429;0.736842105;00:00:03;152
0.555792668;122;0.023540783;104;65;5;adam;tanh;sum;0.736842105;0.848484848;0.091071429;0.736842105;00:00:03;174
0.732872334;39;0.011323252;91;156;5;rmsprop;tanh;sum;0.736842105;0.848484848;0.091071429;0.736842105;00:00:03;183
0.369822399;54;0.004225385;44;18;3;rmsprop;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:01;107
0.565473436;21;0.017149152;72;104;8;adam;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:03;151
0.273001971;17;0.041826912;122;28;4;adam;tanh;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:01;160
0.447948652;82;0.00178475;77;188;8;rmsprop;tanh;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:05;168
0.632731896;25;0.014706081;113;69;4;adam;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:02;184
0.449081715;42;0.011294542;141;22;5;adam;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:01;108
0.479983991;126;0.004321512;110;151;4;adam;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:07;143
0.445202103;123;0.003814445;53;49;5;adam;tanh;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:03;148
0.405211357;13;0.007394175;28;25;7;SGD;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:01;153
0.72990751;7;0.02876158;93;144;4;adam;tanh;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:03;154
0.667625518;11;0.020604379;99;75;2;SGD;sigmoid;sum;0.736842105;0.848484848;0.092857143;0.736842105;00:00:01;157
0.39887255;11;0.049172108;95;170;2;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:03;172
0.514063676;102;0.001833176;24;199;5;rmsprop;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:18;196
0.611774054;47;0.0085772;38;60;7;adam;tanh;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:04;198
0.65524179;32;0.039256805;80;95;7;adam;tanh;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:03;103
0.268224154;112;0.00412625;67;154;3;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:04;106
0.726619629;83;0.001561413;60;55;7;rmsprop;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:02;114
0.615420122;50;0.003807914;64;155;3;rmsprop;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:03;120
0.264474879;107;0.006331675;113;139;5;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:03;120
0.31144503;74;0.025997103;115;12;8;adam;tanh;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:00;123
0.485877579;69;0.006644248;145;72;9;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:02;125
0.667281731;47;0.015214786;86;33;5;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:01;133
0.587918003;45;0.003951909;57;25;8;rmsprop;tanh;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:01;135
0.738016199;88;0.009502352;51;36;4;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:01;143
0.561359728;23;0.02650175;121;19;7;adam;sigmoid;sum;0.736842105;0.848484848;0.094642857;0.736842105;00:00:01;151
