dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:04.073986
0.25,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428571,0.7368421052631579,0:00:00.615815
0.25,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285713,0.7368421052631579,0:00:00.674669
0.25,5,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.15892857142857142,0.7368421052631579,0:00:00.658325
0.25,5,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.6785714285714285,0.7368421052631579,0:00:00.658643
0.25,5,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.643321
0.25,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.41964285714285715,0.7368421052631579,0:00:00.628050
0.25,5,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:00.627896
0.25,5,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:00.674727
0.25,5,0.01,16,10,1,adam,relu,sum,0.7368421052631579,0.8437499999999999,0.9035714285714286,0.7495300751879699,0:00:00.643525
0.25,5,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:00.658920
0.25,5,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.8571428571428572,0.9,0.7701933404940924,0:00:00.643509
0.25,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428571,0.7368421052631579,0:00:00.658596
0.25,32,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9214285714285715,0.7368421052631579,0:00:00.612208
0.25,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.47857142857142865,0.7368421052631579,0:00:00.674260
0.25,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.659478
