dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time

0.25,32,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7000000000000001,0.7368421052631579,0:00:02.581920
0.25,32,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.5964285714285715,0.7368421052631579,0:00:00.570605
0.25,32,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8267857142857143,0.7368421052631579,0:00:00.650002
0.25,32,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8321428571428572,0.7842333105491,0:00:00.676474
0.25,32,0.001,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.30769230769230765,0.8285714285714285,0.7567567567567568,0:00:00.657637
0.25,32,0.001,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.18181818181818182,0.8392857142857142,0.7989934513703613,0:00:00.636396
0.25,32,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7660714285714286,0.7368421052631579,0:00:03.034956
0.25,32,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.16666666666666666,0.7678571428571429,0.7627156125608138,0:00:02.883144
0.25,32,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8250000000000001,0.8399570354457572,0:00:02.885979
0.25,32,0.001,16,50,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8535714285714286,0.8399570354457572,0:00:02.891613
0.25,32,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8214285714285714,0.8399570354457572,0:00:02.877828
0.25,32,0.001,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8821428571428571,0.8229949874686716,0:00:02.772750
0.25,32,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7803571428571429,0.7368421052631579,0:00:05.360388
0.25,32,0.001,16,100,1,SGD,relu,sum,0.7894736842105263,0.2,0.8107142857142857,0.8070958646616541,0:00:05.158875
0.25,32,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8303571428571428,0.8399570354457572,0:00:05.698030
0.25,32,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8607142857142858,0.8146227638060668,0:00:05.439069
0.25,32,0.001,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8285714285714285,0.8399570354457572,0:00:05.653102
0.25,32,0.001,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8875000000000001,0.8229949874686716,0:00:05.326299
0.25,32,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7910714285714286,0.7368421052631579,0:00:11.008615
0.25,32,0.001,16,200,1,SGD,relu,sum,0.7894736842105263,0.2,0.8571428571428571,0.8229949874686716,0:00:10.915583
0.25,32,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8125,0.8146227638060668,0:00:11.709807
0.25,32,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.2,0.8446428571428573,0.8229949874686716,0:00:11.783339
0.25,32,0.001,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8125,0.8146227638060668,0:00:11.869040
0.25,32,0.001,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8625,0.8229949874686716,0:00:12.765851
0.5,32,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7000000000000001,0.7368421052631579,0:00:00.598332
0.5,32,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.6964285714285715,0.7368421052631579,0:00:00.554559
0.5,32,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8232142857142858,0.7368421052631579,0:00:00.630682
0.5,32,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8357142857142857,0.7989934513703613,0:00:00.663936
0.5,32,0.001,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.8160714285714286,0.7368421052631579,0:00:00.615699
0.5,32,0.001,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.18181818181818182,0.85,0.7989934513703613,0:00:00.611114
0.5,32,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7642857142857142,0.7368421052631579,0:00:02.918253
0.5,32,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.16666666666666669,0.8357142857142856,0.7495300751879699,0:00:02.787715
0.5,32,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8232142857142857,0.8399570354457572,0:00:03.271983
0.5,32,0.001,16,50,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8642857142857143,0.8399570354457572,0:00:02.882866
0.5,32,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8196428571428571,0.8399570354457572,0:00:02.913360
0.5,32,0.001,16,50,1,RMSprop,relu,sum,0.8157894736842105,0.22222222222222224,0.8857142857142857,0.8486518019185895,0:00:02.715429
0.5,32,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7785714285714286,0.7368421052631579,0:00:05.524287
0.5,32,0.001,16,100,1,SGD,relu,sum,0.7894736842105263,0.2,0.8589285714285715,0.8070958646616541,0:00:05.659750
0.5,32,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8285714285714286,0.8399570354457572,0:00:06.220327
0.5,32,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.875,0.8146227638060668,0:00:05.923313
0.5,32,0.001,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8285714285714286,0.8399570354457572,0:00:06.053763
0.5,32,0.001,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8928571428571429,0.8229949874686716,0:00:05.959783
0.5,32,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7910714285714286,0.7368421052631579,0:00:11.630337
0.5,32,0.001,16,200,1,SGD,relu,sum,0.7894736842105263,0.2,0.8732142857142857,0.8229949874686716,0:00:10.337873
0.5,32,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8142857142857143,0.8146227638060668,0:00:11.444505
0.5,32,0.001,16,200,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8357142857142856,0.8146227638060668,0:00:11.789952
0.5,32,0.001,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8357142857142856,0.8146227638060668,0:00:11.188255
0.5,32,0.001,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8714285714285714,0.8229949874686716,0:00:10.938143
0.75,32,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.6964285714285715,0.7368421052631579,0:00:00.593841
0.75,32,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.7571428571428571,0.7368421052631579,0:00:00.595000
0.75,32,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8267857142857143,0.7368421052631579,0:00:00.616477
0.75,32,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8535714285714286,0.7842333105491,0:00:00.612548
0.75,32,0.001,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.8178571428571428,0.7368421052631579,0:00:00.652609
0.75,32,0.001,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.8821428571428572,0.7701933404940924,0:00:00.647532
0.75,32,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7642857142857142,0.7368421052631579,0:00:03.049920
0.75,32,0.001,16,50,1,SGD,relu,sum,0.7105263157894737,0.15384615384615383,0.8589285714285715,0.7299837431416378,0:00:02.957922
0.75,32,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8232142857142857,0.8399570354457572,0:00:03.047548
0.75,32,0.001,16,50,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8892857142857142,0.8399570354457572,0:00:02.940640
0.75,32,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8214285714285714,0.8399570354457572,0:00:03.144350
0.75,32,0.001,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.20000000000000004,0.8910714285714285,0.8399570354457572,0:00:02.891942
0.75,32,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7803571428571429,0.7368421052631579,0:00:05.577403
0.75,32,0.001,16,100,1,SGD,relu,sum,0.7894736842105263,0.2,0.8732142857142857,0.8070958646616541,0:00:05.426615
0.75,32,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8250000000000001,0.8399570354457572,0:00:05.823493
0.75,32,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8660714285714286,0.8399570354457572,0:00:05.855812
0.75,32,0.001,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8267857142857143,0.8399570354457572,0:00:05.985542
0.75,32,0.001,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.20000000000000004,0.8892857142857143,0.8399570354457572,0:00:05.739265
0.75,32,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7910714285714286,0.7368421052631579,0:00:11.080382
0.75,32,0.001,16,200,1,SGD,relu,sum,0.7631578947368421,0.18181818181818182,0.8839285714285714,0.7989934513703613,0:00:10.797902
0.75,32,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8267857142857142,0.8146227638060668,0:00:11.575564
0.75,32,0.001,16,200,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8892857142857143,0.8146227638060668,0:00:11.229945
