dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18035714285714283,0.7368421052631579,0:00:04.182648
0.25,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.6785714285714286,0.7368421052631579,0:00:00.653019
0.25,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:00.712261
0.25,64,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8642857142857143,0.8146227638060668,0:00:00.614165
0.25,64,0.001,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.8620689655172413,0.8285714285714285,0.8229949874686716,0:00:00.586637
0.25,64,0.001,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8892857142857143,0.8229949874686716,0:00:00.692143
0.25,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:03.273791
0.25,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:02.984409
0.25,64,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8375,0.8399570354457572,0:00:03.197406
0.25,64,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8946428571428572,0.8146227638060668,0:00:03.062780
0.25,64,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:03.108401
0.25,64,0.001,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8928571428571429,0.8399570354457572,0:00:02.971310
0.25,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7607142857142858,0.7368421052631579,0:00:05.981832
0.25,64,0.001,16,100,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.9053571428571429,0.7701933404940924,0:00:05.675251
0.25,64,0.001,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8339285714285715,0.8146227638060668,0:00:06.271427
0.25,64,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8660714285714285,0.8146227638060668,0:00:05.786490
0.25,64,0.001,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8392857142857143,0.8146227638060668,0:00:06.213254
0.25,64,0.001,16,100,1,RMSprop,relu,sum,0.7631578947368421,0.8421052631578947,0.880357142857143,0.8146227638060668,0:00:06.297470
0.25,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7999999999999999,0.7368421052631579,0:00:11.601230
0.25,64,0.001,16,200,1,SGD,relu,sum,0.7894736842105263,0.8666666666666666,0.8928571428571429,0.8070958646616541,0:00:11.182977
0.25,64,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8089285714285714,0.8146227638060668,0:00:11.482047
0.25,64,0.001,16,200,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8553571428571428,0.8146227638060668,0:00:12.404736
0.25,64,0.001,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8089285714285714,0.8146227638060668,0:00:11.409896
0.25,64,0.001,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.8666666666666666,0.869642857142857,0.8070958646616541,0:00:10.404095
0.5,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18035714285714283,0.7368421052631579,0:00:00.546849
0.5,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.7267857142857143,0.7368421052631579,0:00:00.538174
0.5,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8250000000000001,0.7368421052631579,0:00:00.612390
0.5,64,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.8524590163934425,0.9,0.7842333105491,0:00:00.534172
0.5,64,0.001,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.8571428571428572,0.8232142857142858,0.7701933404940924,0:00:00.543950
0.5,64,0.001,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.8387096774193549,0.8946428571428571,0.7627156125608138,0:00:00.527863
0.5,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:02.623318
0.5,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:02.649979
0.5,64,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8375,0.8399570354457572,0:00:02.795597
0.5,64,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8946428571428572,0.8146227638060668,0:00:02.772123
0.5,64,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8375,0.8399570354457572,0:00:02.691454
0.5,64,0.001,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8892857142857143,0.8399570354457572,0:00:02.580078
0.5,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.755357142857143,0.7368421052631579,0:00:05.295025
0.5,64,0.001,16,100,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.9142857142857143,0.7701933404940924,0:00:04.973141
0.5,64,0.001,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8374999999999999,0.8146227638060668,0:00:05.640035
0.5,64,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8874999999999998,0.8146227638060668,0:00:05.557708
0.5,64,0.001,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8339285714285714,0.8146227638060668,0:00:05.512323
0.5,64,0.001,16,100,1,RMSprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8964285714285715,0.8146227638060668,0:00:05.267297
0.5,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857142,0.7368421052631579,0:00:10.468485
0.5,64,0.001,16,200,1,SGD,relu,sum,0.8157894736842105,0.8852459016393442,0.8910714285714284,0.8152768284347232,0:00:10.111785
0.5,64,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.817857142857143,0.8146227638060668,0:00:11.121174
0.5,64,0.001,16,200,1,adam,relu,sum,0.7631578947368421,0.8421052631578947,0.8821428571428572,0.8146227638060668,0:00:10.693323
0.5,64,0.001,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8267857142857143,0.8146227638060668,0:00:10.808897
0.5,64,0.001,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.8666666666666666,0.8946428571428572,0.8070958646616541,0:00:10.330109
0.75,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.1839285714285714,0.7368421052631579,0:00:00.576346
