dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.502219044558678,70,0.07439400246617983,52,123,3,SGD,relu,sum,0.8157894736842105,0.8571428571428571,0.9107142857142857,0.9342105263157895,0:00:03.161010
0.4300834967256415,94,0.05600473398524994,62,178,6,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7357142857142858,0.7368421052631579,0:00:06.056418
0.33893244361819264,94,0.025681024859296298,92,33,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.009496
0.31508927681027654,28,0.0715828943878628,39,162,8,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.985480
0.3718399163183363,70,0.009617766559130585,146,47,9,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26249999999999996,0.7368421052631579,0:00:01.494903
0.6312430507836031,111,0.09475115829965379,71,44,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.24107142857142855,0.7368421052631579,0:00:01.471335
0.5068638288528888,117,0.08246595568004965,134,18,9,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.591253
0.47487775513337604,73,0.028659105760244198,143,71,6,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.1821428571428571,0.7368421052631579,0:00:01.802931
0.6025635372084114,8,0.05461378219868557,23,149,6,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:10.159212
0.45437953491093896,127,0.08495719994171713,86,194,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.723626
0.4263529815492302,82,0.06797722984907727,148,54,2,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.905005
0.4250409506442951,103,0.010068677594468011,26,70,2,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8607142857142857,0.8671679197994987,0:00:02.784908
0.5472794635443217,44,0.05197604373631766,31,43,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.44285714285714284,0.7368421052631579,0:00:01.924631
0.28548197796750624,88,0.039677643523352714,35,198,2,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7517857142857143,0.7368421052631579,0:00:06.271057
0.6835206026393157,96,0.06074615767321976,96,69,8,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.825,0.7368421052631579,0:00:02.006589
0.734859677803811,71,0.029471865218060923,60,187,4,RMSprop,tanh,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:05.233925
0.3909409686258745,60,0.010832603465749227,115,63,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7321428571428572,0.7368421052631579,0:00:01.379606
0.45586723042403476,81,0.05180427371290753,64,178,3,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:04.588551
0.4901905902179593,5,0.010148544486699482,21,66,3,adam,tanh,mean,0.7631578947368421,0.8421052631578947,0.8535714285714285,0.8146227638060668,0:00:03.864360
0.4645765550226008,89,0.06125986185337724,127,53,6,adam,sigmoid,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.358953
0.5015001342635546,53,0.07470900790830105,59,45,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2482142857142857,0.7368421052631579,0:00:01.102765
0.42119918212243596,88,0.0448797907305299,66,150,2,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.319455
0.5334416795435033,96,0.052063658987376166,62,176,6,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:06.128703
0.548366167656132,65,0.08720894059344735,51,129,8,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8214285714285714,0.7368421052631579,0:00:05.029213
0.5587649972765586,65,0.08800782509628038,46,117,6,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:04.928117
0.4806347970183644,60,0.06537193334322469,58,121,1,SGD,sigmoid,sum,0.8157894736842105,0.8771929824561403,0.9160714285714286,0.8486518019185895,0:00:02.308811
0.41204230753164306,69,0.1,62,117,9,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.075206
0.75,56,0.001,49,125,1,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.9178571428571428,0.7368421052631579,0:00:02.848912
0.25,55,0.001,60,133,1,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:02.537367
0.25,44,0.1,59,123,1,SGD,relu,sum,0.7105263157894737,0.7555555555555554,0.9142857142857143,0.8966165413533834,0:00:02.330682
0.75,45,0.001,75,128,1,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.3482142857142857,0.7368421052631579,0:00:01.828387
0.5925550996608824,42,0.040698924197334535,51,136,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.438252
0.6545681929237,47,0.0035368096356208326,57,111,2,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8785714285714286,0.8486518019185895,0:00:02.556486
0.25,43,0.1,45,115,1,SGD,relu,sum,0.6842105263157895,0.7272727272727273,0.9178571428571429,0.8872180451127819,0:00:02.640436
0.30700045898309464,30,0.03606178195818562,55,111,4,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.6928571428571428,0.7368421052631579,0:00:03.149358
0.25,51,0.1,41,102,1,SGD,tanh,sum,0.868421052631579,0.9019607843137255,0.9178571428571429,0.9530075187969924,0:00:02.364130
