dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.49921753957639076,91,0.021257326069391305,130,114,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.75,0.7368421052631579,0:00:04.204090
0.33691371730452097,63,0.08200684718661662,74,45,5,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.875,0.7368421052631579,0:00:01.763352
0.29574682671124913,43,0.057443137670367156,105,115,8,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7321428571428572,0.7368421052631579,0:00:04.345039
0.7094081219096836,49,0.019609077663286286,123,95,6,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:02.896756
0.7133373951860041,47,0.09978172534641017,136,22,4,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.758269
0.5594072251841893,60,0.035928006964225934,149,57,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.825,0.7368421052631579,0:00:00.960807
0.40234971723337926,68,0.08641985962819762,92,90,7,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:03.586531
0.2926404346426576,10,0.07629933782719031,46,14,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:00.583486
0.45914921278143056,82,0.045396308323545284,91,64,8,SGD,sigmoid,sum,0.7631578947368421,0.8615384615384616,0.9,0.7567567567567568,0:00:03.187317
0.3428641866095959,46,0.05119034191987218,150,119,1,SGD,tanh,sum,0.8157894736842105,0.8771929824561403,0.9035714285714286,0.8486518019185895,0:00:01.530057
0.31214725279892636,18,0.0810559466979447,104,165,7,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.607994
0.6134685951792795,33,0.03970592102976803,90,73,6,SGD,tanh,sum,0.6578947368421053,0.6976744186046512,0.8535714285714286,0.8778195488721805,0:00:02.093511
0.46873782553002225,6,0.05065382742966794,33,94,5,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.2571428571428571,0.7368421052631579,0:00:03.876010
0.3572684333879959,5,0.02552776942308351,53,21,8,adam,tanh,mean,0.8157894736842105,0.8727272727272727,0.8107142857142857,0.8671679197994987,0:00:00.937576
0.28756605274980923,7,0.05351689672579293,58,117,3,RMSprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.549575
0.5810873911388532,77,0.020484302043400095,115,57,4,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:02.034029
0.35448149905710646,35,0.007232802151655784,50,50,8,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.35,0.7368421052631579,0:00:02.010271
0.395332195277918,35,0.04014583520388813,52,110,5,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:03.157886
0.3383111489684182,37,0.054246382382241824,43,20,5,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26071428571428573,0.7368421052631579,0:00:00.708480
0.7203177124758656,20,0.05610258164566456,64,97,8,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.805612
0.2630436761272589,71,0.07962092764646511,99,174,6,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.764417
0.6830012567785961,48,0.09167713755571495,57,110,6,RMSprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.422370
0.3999501143470558,81,0.08995715291760166,49,115,9,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.718289
0.7180680237041392,98,0.031006518143778642,93,177,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.297358
0.5743967745623917,125,0.03001202631211956,67,132,4,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.957039
0.3673328952217894,65,0.023507036416552034,86,87,4,RMSprop,tanh,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:03.852600
0.6303127576081077,62,0.0010639305441355767,147,55,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.75,0.7368421052631579,0:00:01.323717
0.6785829209491971,30,0.051822310044525706,51,115,2,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:02.320999
0.3033725065681635,37,0.06027094469786224,44,114,2,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:02.728760
0.41928695210921063,77,0.05943399023287018,85,57,7,SGD,sigmoid,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:02.622898
0.4808230039252767,85,0.038215355612669276,94,67,8,SGD,sigmoid,sum,0.7631578947368421,0.8615384615384616,0.8964285714285715,0.7567567567567568,0:00:03.518561
0.25,30,0.001,47,112,7,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:04.402901
0.3342328753999757,35,0.0922905808099902,55,116,8,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.744563
0.4127799192134623,30,0.08828979342105307,54,106,1,RMSprop,tanh,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.831349
0.3021961900746588,45,0.07307470068506736,150,113,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7517857142857143,0.7368421052631579,0:00:02.250207
0.547456299594389,87,0.08401732924092163,88,66,9,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.890491
0.5418387546600074,81,0.007650774430473762,97,61,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.09464285714285714,0.7368421052631579,0:00:02.253333
0.5773816027887427,29,0.013781378837672848,47,116,7,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.2446428571428571,0.7368421052631579,0:00:04.712832
0.5220025089707279,47,0.006538066740372164,149,116,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26428571428571423,0.7368421052631579,0:00:02.233705
0.32662655519687567,6,0.03228045831130977,88,157,2,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.8142857142857143,0.7368421052631579,0:00:02.583935
0.6010992263656731,28,0.09774441404621438,135,44,9,RMSprop,tanh,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.606500
0.4936062609433809,20,0.0454851149246506,135,137,6,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.620398
0.4863498122793357,126,0.011991533361632258,149,153,6,adam,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:09.329799
0.32781912360185117,21,0.017184226323113398,138,34,4,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8214285714285714,0.7368421052631579,0:00:00.968736
0.6927246563622436,75,0.05595845450068598,108,55,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.948703
0.710300186784069,63,0.05885519447652918,140,150,8,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.742894
0.2613823882806441,117,0.048275473001251276,104,25,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7357142857142858,0.7368421052631579,0:00:01.185884
0.6657923248048583,12,0.027286695317518768,115,189,8,SGD,tanh,sum,0.7631578947368421,0.8615384615384616,0.9035714285714286,0.7567567567567568,0:00:05.520363
0.5693910654304815,83,0.061992129563053056,31,60,7,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:03.503028
0.6841854700535251,31,0.01656801104886633,44,46,3,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.286034
0.592033726792863,71,0.0969813692595679,82,20,3,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.546985
0.25987787886798774,83,0.038137593286685326,142,166,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:20.884261
0.6061983704541314,112,0.07881847710066399,147,94,6,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.174939
0.4416845539254238,49,0.0977776507624828,121,171,6,RMSprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.268639
0.5361678445483253,49,0.05276787509583071,72,84,9,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7410714285714285,0.7368421052631579,0:00:03.747701
0.5154985115146646,90,0.013064059813615459,93,11,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:00.450216
0.5589828968250994,19,0.07465266785986159,104,193,2,adam,relu,mean,0.7631578947368421,0.8474576271186439,0.8035714285714286,0.7989934513703613,0:00:03.233224
0.2536279686052483,119,0.05747537578627957,59,135,5,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.727117
0.7406413949321826,118,0.03609485583116576,24,70,6,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:05.470080
0.5418816653521463,52,0.03443124660653555,137,11,8,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.511570
0.4364173295361065,41,0.03450692138163133,80,94,4,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.25892857142857145,0.7368421052631579,0:00:02.222357
0.5640514848008633,54,0.0016382064496797796,114,78,5,adam,tanh,mean,0.7894736842105263,0.84,0.8214285714285715,0.9001196172248804,0:00:02.264067
0.39268879667520495,104,0.03353631212864555,56,76,5,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7357142857142857,0.7368421052631579,0:00:03.517799
0.6946462331332643,71,0.011173731611509356,110,151,6,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:05.639786
0.3073239387292674,43,0.03507014645103486,80,192,2,adam,sigmoid,mean,0.7631578947368421,0.8421052631578947,0.8178571428571427,0.8146227638060668,0:00:03.556868
0.6238395848293992,6,0.06721111629010752,39,84,6,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:02.779713
0.7395403611773389,108,0.09228443810823851,113,28,9,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:03.834592
0.6491784212758307,107,0.01814138125920643,18,27,6,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5178571428571429,0.7368421052631579,0:00:05.718855
0.5171466204335229,124,0.04610276148948218,23,28,6,RMSprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.46071428571428563,0.7368421052631579,0:00:02.077268
0.6964691072334492,49,0.015518209144635382,136,55,2,adam,relu,sum,0.7894736842105263,0.8709677419354839,0.9071428571428571,0.7920720919946925,0:00:01.057541
