dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.6723880661599518,20,0.0674041593879511,73,11,3,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:00.953165,
0.34266410977503753,32,0.0978837546860296,44,31,8,RMSprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.6678571428571428,0.7368421052631579,0:00:01.975732,
0.7200149098111873,46,0.01836563492049133,74,165,3,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7357142857142858,0.7368421052631579,0:00:04.665583,
0.5494216884642464,18,0.038812401049367895,18,125,7,SGD,sigmoid,sum,0.868421052631579,0.9056603773584906,0.9,0.9281203007518796,0:00:13.368161,
0.5384507497000164,83,0.05860237704747901,135,151,1,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:02.366720,
0.39294784520343234,125,0.08860047605561945,50,172,7,adam,sigmoid,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.861099,
0.3688471043120252,67,0.03824899297543894,40,19,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.714648,
0.5511483288654329,50,0.02123018240999578,143,84,8,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.2571428571428571,0.7368421052631579,0:00:02.646922,
0.5489868421644604,47,0.010113504734346624,144,149,9,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.9089285714285714,0.8399570354457572,0:00:05.909182,
0.4475179658791148,104,0.07568055046365302,149,74,5,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.062476,
0.40632014893787155,86,0.026171494263954095,31,97,3,adam,sigmoid,mean,0.7631578947368421,0.8421052631578947,0.8464285714285713,0.8146227638060668,0:00:05.079531,
0.5551640766046969,91,0.08610221127717745,120,69,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.936425,
0.3303722742535408,122,0.021886863453126192,19,185,2,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:09.773746,
0.5001779483374325,70,0.001138503288785339,109,146,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7357142857142857,0.7368421052631579,0:00:03.560161,
0.47258831441556914,39,0.09440423267652998,83,27,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:00.596767,
0.746321118701484,19,0.06678366315043008,149,199,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:05.075770,
0.5413469075749493,53,0.019777679362302812,150,45,3,adam,tanh,sum,0.7368421052631579,0.8076923076923077,0.8428571428571429,0.8404605263157895,0:00:00.582338,
0.5387206864139237,49,0.03281186126887255,57,94,5,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:03.094675,
0.6350448864598477,47,0.06584848539393293,114,81,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:02.748641,
0.7308209518873229,69,0.022608953515087286,37,169,5,SGD,relu,sum,0.5526315789473685,0.5641025641025641,0.9142857142857144,0.8402255639097744,0:00:08.405265,
0.49914038629828655,86,0.01751175331276589,29,98,3,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8964285714285714,0.7368421052631579,0:00:04.835053,
0.535049142594561,61,0.02258340557402016,135,149,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:04.267506,
0.37164497898802856,95,0.08125492479246801,19,103,8,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7285714285714285,0.7368421052631579,0:00:10.790911,
0.75,72,0.001,19,103,1,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.8875000000000001,0.7368421052631579,0:00:04.532515,
0.7089649859283487,52,0.020026245235402317,37,157,5,SGD,sigmoid,sum,0.8157894736842105,0.888888888888889,0.9035714285714286,0.8,0:00:07.863255,
0.75,70,0.001,28,145,2,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:05.883154,
0.6684894296481653,44,0.016218889773698588,16,137,5,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857144,0.876141245972073,0:00:13.295027,
0.7141504762515837,57,0.09128729620022147,16,166,1,RMSprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:09.174301,
0.30264847889320334,70,0.030740587891645927,49,147,3,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:05.180393,
0.75,61,0.001,20,133,3,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:08.394912,
