dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.49914038629828655,86,0.01751175331276589,29,98,3,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8964285714285714,0.7368421052631579,0:00:04.518111,100
0.5402341760046733,61,0.024244204915223166,137,149,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7303571428571429,0.7368421052631579,0:00:04.135475,100
0.6439461943684978,81,0.01430571416570086,16,104,6,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7428571428571429,0.7368421052631579,0:00:10.658165,100
0.7278721368088102,61,0.020860561265518815,50,168,4,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:05.050376,100
0.6606238347314254,54,0.02771211907883413,35,159,5,SGD,sigmoid,sum,0.8157894736842105,0.888888888888889,0.8928571428571428,0.8,0:00:07.946794,100
0.75,71,0.09550535406522065,44,151,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9125000000000001,0.876141245972073,0:00:03.828613,100
0.75,93,0.001,33,117,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9214285714285715,0.7368421052631579,0:00:03.602068,100
0.75,107,0.001,23,103,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.925,0.7368421052631579,0:00:04.009575,100
0.75,27,0.1,17,148,1,SGD,relu,sum,0.8157894736842105,0.888888888888889,0.9160714285714286,0.8,0:00:06.883157,100
0.2565919455379124,8,0.001,33,146,9,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:10.136255,100
0.25,22,0.07815290284816655,32,173,9,rmsprop,tanh,sum,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:12.036389,100
0.75,28,0.001,37,135,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:03.964461,100
0.75,49,0.07907989253023878,16,136,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.9125000000000001,0.8229949874686716,0:00:06.874309,100
0.75,76,0.09754402790886224,16,149,1,SGD,relu,sum,0.7894736842105263,0.8333333333333333,0.9160714285714286,0.924812030075188,0:00:07.640820,100
0.75,5,0.1,42,124,1,rmsprop,tanh,mean,0.7368421052631579,0.8484848484848484,0.275,0.7368421052631579,0:00:03.316469,100
0.6750825355337857,64,0.0825722806682364,34,134,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2625,0.7368421052631579,0:00:07.000574,100
0.32663187017591433,30,0.03477354082731508,17,136,8,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7410714285714286,0.7368421052631579,0:00:16.424606,100
0.75,79,0.1,30,158,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9178571428571428,0.8671679197994987,0:00:04.797220,100
0.75,63,0.1,18,161,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857143,0.876141245972073,0:00:07.877681,100
0.75,45,0.001,16,153,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:08.034334,100
0.25,80,0.008078339963460562,53,163,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9196428571428572,0.876141245972073,0:00:03.455227,100
0.6517276235503582,111,0.051687810662672376,31,121,8,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.3392857142857143,0.7368421052631579,0:00:08.143319,100
0.6300780664965766,7,0.04799586438451496,16,147,3,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:10.321729,100
0.75,100,0.001,17,90,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428572,0.7368421052631579,0:00:04.248617,100
0.75,69,0.01575935832578748,64,153,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9214285714285715,0.876141245972073,0:00:03.224610,100
0.29240809190527767,82,0.09382722674885298,16,168,8,SGD,tanh,sum,0.8157894736842105,0.8727272727272727,0.9285714285714285,0.8671679197994987,0:00:20.287772,100
0.75,119,0.001,20,86,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:03.954626,100
0.75,109,0.001,36,87,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571428,0.7368421052631579,0:00:02.747367,100
0.75,109,0.001,25,67,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428572,0.7368421052631579,0:00:02.425300,100
0.75,127,0.001,38,71,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9267857142857142,0.7368421052631579,0:00:01.970242,100
0.75,128,0.001,18,63,9,SGD,tanh,sum,0.8421052631578947,0.896551724137931,0.9178571428571429,0.8573934837092732,0:00:07.960342,100
0.75,121,0.1,36,50,9,rmsprop,tanh,sum,0.2631578947368421,0,0.4642857142857143,0.7368421052631579,0:00:03.850122,100
0.75,128,0.001,49,87,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2857142857142857,0.7368421052631579,0:00:02.335295,100
0.75,112,0.001,16,76,9,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.9214285714285715,0.7368421052631579,0:00:10.218130,100
0.25,128,0.001,23,73,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428573,0.7368421052631579,0:00:02.981721,100
0.75,70,0.1,16,183,1,rmsprop,tanh,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:10.080125,100
0.7047543468220554,29,0.006597506486119334,141,138,7,adam,relu,mean,0.868421052631579,0.9056603773584906,0.8392857142857143,0.9281203007518796,0:00:04.322130,100
0.25,94,0.001,16,156,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.9178571428571429,0.7701933404940924,0:00:08.001437,100
0.75,86,0.1,64,147,9,rmsprop,relu,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:06.923452,100
0.25,72,0.1,67,175,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857143,0.876141245972073,0:00:03.752530,100
0.280903995159305,80,0.041199919250413185,54,187,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26428571428571423,0.7368421052631579,0:00:05.794584,100
0.25,70,0.04770764812535905,81,166,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9125000000000001,0.8671679197994987,0:00:02.767415,100
0.75,90,0.1,18,70,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9089285714285714,0.9281203007518796,0:00:03.401590,100
0.4791793746895943,96,0.06614422839476446,31,79,8,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.494259,100
0.75,99,0.001,16,56,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.925,0.7368421052631579,0:00:03.088729,100
0.75,79,0.1,16,56,1,SGD,tanh,sum,0.8157894736842105,0.8727272727272727,0.9196428571428571,0.8671679197994987,0:00:02.930483,100
0.6989263455922966,32,0.057018223743594415,146,157,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7428571428571429,0.7368421052631579,0:00:02.807643,100
0.75,69,0.001,16,72,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9285714285714286,0.7368421052631579,0:00:03.773412,100
0.6887857340611632,67,0.04316471319196206,68,166,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.161734,100
0.75,17,0.001,27,143,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.5625,0.7368421052631579,0:00:04.866049,100
0.34645280054606903,119,0.03570899336290009,27,77,9,rmsprop,sigmoid,mean,0.2631578947368421,0,0.5607142857142857,0.7368421052631579,0:00:07.599871,100
0.3147848511076628,83,0.05389298087223887,19,156,5,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:12.066416,100
0.7427993021766592,74,0.06584932620611954,34,163,3,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9107142857142857,0.876141245972073,0:00:05.980250,100
0.6272436970992188,71,0.04236041440740852,44,162,2,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9107142857142857,0.8671679197994987,0:00:04.333723,100
0.75,64,0.06808103818271494,37,160,2,SGD,relu,sum,0.7631578947368421,0.8085106382978724,0.9142857142857144,0.9154135338345865,0:00:04.961351,100
0.3080472950769048,109,0.017406899389192168,20,88,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8375,0.7909774436090226,0:00:03.743862,100
0.25,71,0.001,54,156,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:02.930268,100
0.2700827042056557,80,0.08126846854430608,16,69,5,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.898010,100
0.560886014981418,101,0.04963153038087156,18,67,3,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7178571428571429,0.7368421052631579,0:00:04.320562,100
0.7417015595332408,61,0.01173065735898091,48,158,3,adam,tanh,mean,0.7631578947368421,0.8421052631578947,0.8500000000000001,0.8146227638060668,0:00:04.988377,100
0.75,68,0.1,27,158,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9160714285714285,0.9281203007518796,0:00:04.775012,100
0.4991746525874957,99,0.07696671079977746,21,98,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.548665,100
0.6754336573668475,65,0.03243841882573635,30,165,5,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:07.436104,100
0.29669885062121265,73,0.06505990586776932,36,156,5,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.4642857142857143,0.7368421052631579,0:00:07.159734,100
0.25745693125832925,61,0.07501631738995097,41,162,7,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:07.611491,100
0.5338952523444598,70,0.056498408254769816,26,163,4,rmsprop,sigmoid,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:07.990082,100
0.5803506414634728,67,0.039253012411547925,51,162,3,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.098220,100
0.450940592021484,126,0.002322765738037209,18,65,7,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8946428571428572,0.7368421052631579,0:00:06.569964,100
0.2780227070030994,70,0.022464731316357015,33,168,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.47857142857142854,0.7368421052631579,0:00:06.387081,100
0.6257926965796781,102,0.0037105651587279256,18,89,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9214285714285715,0.876141245972073,0:00:03.834899,100
0.27120896848581244,68,0.07606433896694693,40,160,3,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:04.865668,100
0.43404598378634096,70,0.06996174587583703,61,154,4,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.262058,100
0.6429711144350696,66,0.04042177891967382,36,162,4,SGD,sigmoid,sum,0.6842105263157895,0.7272727272727273,0.9035714285714287,0.8872180451127819,0:00:06.631077,100
0.6653219853627476,64,0.05624466025878942,33,160,6,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5214285714285714,0.7368421052631579,0:00:08.467665,100
0.33182021653021704,101,0.01564153557623964,16,90,2,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.5571428571428572,0.7368421052631579,0:00:05.219177,100
0.3770775248669963,71,0.005794843865073257,47,164,2,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9107142857142857,0.876141245972073,0:00:04.357000,100
0.5516923816794037,21,0.08105759320565235,38,145,2,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.7178571428571429,0.7368421052631579,0:00:03.983684,100
0.6220733666091547,46,0.06625665579474888,80,37,9,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:01.637363,100
0.6787972467179552,97,0.043387540853043985,138,39,3,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.45,0.7368421052631579,0:00:01.019963,100
0.5853008452530405,90,0.05226336730814531,134,84,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.451668,100
0.2605419861196728,85,0.052332273373855126,64,183,3,rmsprop,tanh,mean,0.2631578947368421,0,0.2642857142857143,0.7368421052631579,0:00:04.593776,100
0.43886219385717024,127,0.08313063177810422,39,72,2,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8928571428571429,0.7368421052631579,0:00:02.182148,100
0.25881090177373417,74,0.011068976414028209,45,163,4,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.55,0.7368421052631579,0:00:06.569608,100
0.5350594226377996,69,0.07155384851256959,40,168,4,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7410714285714285,0.7368421052631579,0:00:06.664152,100
0.37972240369771987,127,0.0354308111432197,16,61,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:08.444521,100
0.3348172078570603,71,0.02207697659924133,53,155,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9232142857142858,0.8671679197994987,0:00:03.127717,100
0.5205037625437876,69,0.07825167020933896,37,162,4,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.957960,100
0.4427700419792889,109,0.011293549610200099,24,65,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.8071428571428572,0.7368421052631579,0:00:03.576472,100
0.75,111,0.001,17,76,7,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:08.578999,100
0.38934048645458397,69,0.08610236538658117,43,158,2,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.342840,100
0.5742950280727133,94,0.062379990555985865,31,116,2,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:04.506894,100
0.7495495019678818,108,0.0010350687756164707,27,66,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8928571428571429,0.7368421052631579,0:00:02.408922,100
0.645562219971292,64,0.03736053983297644,38,160,4,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.725801,100
0.5868584499476825,125,0.0762507132060981,37,72,2,SGD,relu,sum,0.7631578947368421,0.8524590163934425,0.9107142857142858,0.7842333105491,0:00:02.861586,100
0.7110480684494545,64,0.08653339723062686,31,165,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.557142857142857,0.7368421052631579,0:00:07.269431,100
0.42871240433813257,62,0.027590881067603833,49,169,3,adam,sigmoid,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:06.485978,100
0.37565532381190775,65,0.03250284598998562,36,162,3,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.688567,100
0.5691533321349489,80,0.08205312791857391,52,162,2,SGD,sigmoid,sum,0.7894736842105263,0.8709677419354839,0.8999999999999999,0.7920720919946925,0:00:04.717093,100
0.5363755949566378,68,0.055146330918279696,37,171,5,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7375,0.7368421052631579,0:00:09.704731,100
0.32965512981765727,85,0.0872393315679787,29,99,3,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.475,0.7368421052631579,0:00:05.038208,100
0.28616552649630866,15,0.09972457541397678,94,122,7,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.024834,101
0.37807307437434695,26,0.09509459884797031,145,110,8,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.925216,101
0.45381950275779254,125,0.028407554922713733,69,156,3,SGD,sigmoid,sum,0.6842105263157895,0.7272727272727273,0.9035714285714287,0.8872180451127819,0:00:04.712231,101
0.726631137183652,122,0.034736024176040936,64,156,2,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.30000000000000004,0.7368421052631579,0:00:04.098197,101
0.7331095254611149,11,0.0876261923389285,99,14,8,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:00.484561,101
0.31118152880073163,59,0.0952003577620858,49,165,7,rmsprop,sigmoid,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:08.830588,101
0.46541732356320675,125,0.06725380616493783,148,77,8,rmsprop,relu,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:02.559579,101
0.46613817279663866,104,0.09676796034753662,137,126,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.495711,101
0.4704113581233222,59,0.06347125549559833,92,87,7,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18571428571428572,0.7368421052631579,0:00:02.719895,101
0.38830974217664954,101,0.05098872969688042,40,158,9,adam,tanh,mean,0.2631578947368421,0,0.7375,0.7368421052631579,0:00:10.082611,101
0.5612430446738712,101,0.028851559547553772,17,192,7,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7339285714285714,0.7368421052631579,0:00:23.627424,101
0.7147057301933617,103,0.03814630860703569,50,96,3,rmsprop,sigmoid,mean,0.2631578947368421,0,0.5178571428571428,0.7368421052631579,0:00:02.866164,101
0.2998389191251953,26,0.0855012998532714,77,182,8,SGD,sigmoid,sum,0.7631578947368421,0.8615384615384616,0.9017857142857143,0.7567567567567568,0:00:05.846772,101
0.33266625175529124,103,0.05783541313724882,26,176,4,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7285714285714286,0.7368421052631579,0:00:10.512031,101
