dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:00.898873
0.25,64,0.1,16,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.479854
0.25,64,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8607142857142858,0.7368421052631579,0:00:00.437570
0.25,64,0.1,16,10,1,adam,relu,sum,0.868421052631579,0.28571428571428575,0.9017857142857143,0.9281203007518796,0:00:00.392849
0.25,64,0.1,16,10,1,RMSprop,relu,mean,0.23684210526315788,0,0.7285714285714285,0.7368421052631579,0:00:00.382580
0.25,64,0.1,16,10,1,RMSprop,relu,sum,0.7105263157894737,0.15384615384615383,0.8803571428571428,0.7424274973147154,0:00:00.386646
0.25,64,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8214285714285714,0.8146227638060668,0:00:01.735778
0.25,64,0.1,16,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.754324
0.25,64,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.6607142857142858,0.7701933404940924,0:00:01.916148
0.25,64,0.1,16,50,1,adam,relu,sum,0.8157894736842105,0.3636363636363636,0.9089285714285714,0.8,0:00:01.853371
0.25,64,0.1,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.7464285714285714,0.7989934513703613,0:00:01.807726
0.25,64,0.1,16,50,1,RMSprop,relu,sum,0.8421052631578947,0.25,0.8928571428571429,0.896471949103528,0:00:01.898734
0.25,64,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8357142857142857,0.8146227638060668,0:00:03.477176
0.25,64,0.1,16,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:03.474291
0.25,64,0.1,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.6,0.7701933404940924,0:00:03.873209
0.25,64,0.1,16,100,1,adam,relu,sum,0.7894736842105263,0.3333333333333333,0.9017857142857143,0.8070958646616541,0:00:03.850020
0.25,64,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5142857142857143,0.7368421052631579,0:00:03.601390
0.25,64,0.1,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.3333333333333333,0.9053571428571429,0.8070958646616541,0:00:03.677534
0.25,64,0.1,16,200,1,SGD,relu,mean,0.8157894736842105,0.36363636363636365,0.8410714285714286,0.8152768284347232,0:00:06.659825
0.25,64,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.801184
0.25,64,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.6714285714285715,0.7368421052631579,0:00:07.608234
0.25,64,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9053571428571429,0.7368421052631579,0:00:07.550624
0.25,64,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.4,0.7368421052631579,0:00:07.088477
0.25,64,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.905357142857143,0.7368421052631579,0:00:07.391554
0.5,64,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8035714285714286,0.7368421052631579,0:00:00.462077
0.5,64,0.1,16,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.369209
0.5,64,0.1,16,10,1,adam,relu,mean,0.7631578947368421,0.18181818181818182,0.8125,0.7842333105491,0:00:00.429117
0.5,64,0.1,16,10,1,adam,relu,sum,0.6842105263157895,0.14285714285714288,0.9125000000000001,0.8872180451127819,0:00:00.394671
0.5,64,0.1,16,10,1,RMSprop,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:00.381986
0.5,64,0.1,16,10,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.380734
0.5,64,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8232142857142857,0.8146227638060668,0:00:01.726128
0.5,64,0.1,16,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.652350
0.5,64,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.9071428571428571,0.7368421052631579,0:00:01.912028
0.5,64,0.1,16,50,1,adam,relu,sum,0.8157894736842105,0.3636363636363636,0.905357142857143,0.8,0:00:01.918817
0.5,64,0.1,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.7625,0.8399570354457572,0:00:01.883879
0.5,64,0.1,16,50,1,RMSprop,relu,sum,0.8157894736842105,0.3636363636363636,0.8482142857142857,0.8,0:00:01.791392
