dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.18035714285714283,0.7368421052631579,0:00:00.492437
0.25,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.6875000000000001,0.7368421052631579,0:00:00.393449
0.25,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8303571428571429,0.7368421052631579,0:00:00.450699
0.25,64,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8803571428571428,0.7842333105491,0:00:00.396848
0.25,64,0.001,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8375,0.8146227638060668,0:00:00.377978
0.25,64,0.001,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.20000000000000004,0.8696428571428572,0.8399570354457572,0:00:00.370249
0.25,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.2589285714285714,0.7368421052631579,0:00:01.721701
0.25,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9053571428571429,0.7368421052631579,0:00:01.676450
0.25,64,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8375,0.8399570354457572,0:00:01.847092
0.25,64,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8642857142857142,0.8146227638060668,0:00:01.810114
0.25,64,0.001,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8410714285714286,0.8399570354457572,0:00:01.753907
0.25,64,0.001,16,50,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.875,0.8146227638060668,0:00:01.743244
0.25,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.755357142857143,0.7368421052631579,0:00:03.460584
0.25,64,0.001,16,100,1,SGD,relu,sum,0.7631578947368421,0.1818181818181818,0.9035714285714286,0.7701933404940924,0:00:03.264486
0.25,64,0.001,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8339285714285715,0.8146227638060668,0:00:03.709966
0.25,64,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8642857142857143,0.8146227638060668,0:00:03.626185
0.25,64,0.001,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8375,0.8146227638060668,0:00:03.547077
0.25,64,0.001,16,100,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.8732142857142857,0.8146227638060668,0:00:03.498072
0.25,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8017857142857142,0.7368421052631579,0:00:06.765211
0.25,64,0.001,16,200,1,SGD,relu,sum,0.8157894736842105,0.22222222222222224,0.9,0.8152768284347232,0:00:06.662311
0.25,64,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8089285714285714,0.8146227638060668,0:00:07.530488
0.25,64,0.001,16,200,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8589285714285715,0.8146227638060668,0:00:07.414133
0.25,64,0.001,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8071428571428572,0.8146227638060668,0:00:07.215615
0.25,64,0.001,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.880357142857143,0.8229949874686716,0:00:07.007799
0.5,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.18035714285714283,0.7368421052631579,0:00:00.354983
0.5,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.7535714285714286,0.7368421052631579,0:00:00.371312
0.5,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8321428571428572,0.7368421052631579,0:00:00.431072
0.5,64,0.001,16,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8946428571428571,0.7842333105491,0:00:00.390255
0.5,64,0.001,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.18181818181818182,0.8267857142857143,0.7842333105491,0:00:00.371746
