dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:00.488556
0.25,64,0.1,16,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.383814
0.25,64,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8607142857142858,0.7368421052631579,0:00:00.409223
0.25,64,0.1,16,10,1,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9017857142857143,0.9281203007518796,0:00:00.401668
0.25,64,0.1,16,10,1,RMSprop,relu,mean,0.23684210526315788,0,0.7285714285714285,0.7368421052631579,0:00:00.368777
0.25,64,0.1,16,10,1,RMSprop,relu,sum,0.7105263157894737,0.8253968253968255,0.8803571428571428,0.7424274973147154,0:00:00.371003
0.25,64,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.8421052631578947,0.8214285714285714,0.8146227638060668,0:00:01.642683
0.25,64,0.1,16,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.639847
0.25,64,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.8571428571428572,0.6607142857142858,0.7701933404940924,0:00:01.865492
0.25,64,0.1,16,50,1,adam,relu,sum,0.8157894736842105,0.888888888888889,0.9089285714285714,0.8,0:00:01.823171
0.25,64,0.1,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8474576271186439,0.7464285714285714,0.7989934513703613,0:00:01.762530
0.25,64,0.1,16,50,1,RMSprop,relu,sum,0.8421052631578947,0.888888888888889,0.8928571428571429,0.896471949103528,0:00:01.785952
0.25,64,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.8421052631578947,0.8357142857142857,0.8146227638060668,0:00:03.337734
0.25,64,0.1,16,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:03.237413
0.25,64,0.1,16,100,1,adam,relu,mean,0.7631578947368421,0.8571428571428572,0.6,0.7701933404940924,0:00:03.683486
0.25,64,0.1,16,100,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.9017857142857143,0.8070958646616541,0:00:03.657443
0.25,64,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857143,0.7368421052631579,0:00:03.550371
0.25,64,0.1,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.8666666666666666,0.9053571428571429,0.8070958646616541,0:00:03.543165
0.25,64,0.1,16,200,1,SGD,relu,mean,0.8157894736842105,0.8852459016393442,0.8410714285714286,0.8152768284347232,0:00:06.682220
0.25,64,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.541546
0.25,64,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6714285714285715,0.7368421052631579,0:00:07.432875
0.25,64,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:07.341589
0.25,64,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.4,0.7368421052631579,0:00:06.944973
0.25,64,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.905357142857143,0.7368421052631579,0:00:06.931464
0.5,64,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:00.361342
0.5,64,0.1,16,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.348433
0.5,64,0.1,16,10,1,adam,relu,mean,0.7631578947368421,0.8524590163934425,0.8125,0.7842333105491,0:00:00.389271
