dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8160714285714286,0.7368421052631579,0:00:03.862635
0.25,32,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714286,0.7368421052631579,0:00:00.674160
0.25,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.45,0.7368421052631579,0:00:00.736252
0.25,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:00.709800
0.25,32,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.8089285714285714,0.7368421052631579,0:00:00.712501
0.25,32,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714285,0.7368421052631579,0:00:00.680464
0.25,32,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8160714285714286,0.7989934513703613,0:00:03.343205
0.25,32,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9142857142857144,0.7368421052631579,0:00:03.229374
0.25,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.45,0.7368421052631579,0:00:03.493136
0.25,32,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.3333333333333333,0.9089285714285714,0.8070958646616541,0:00:03.610224
0.25,32,0.1,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.7660714285714285,0.8146227638060668,0:00:03.558185
0.25,32,0.1,16,50,1,RMSprop,relu,sum,0.868421052631579,0.28571428571428575,0.9017857142857144,0.9281203007518796,0:00:03.412675
0.25,32,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8374999999999999,0.7989934513703613,0:00:06.984272
0.25,32,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.10535714285714284,0.7368421052631579,0:00:06.653868
0.25,32,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.5678571428571428,0.7368421052631579,0:00:07.636873
0.25,32,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:07.067789
0.25,32,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.7214285714285714,0.7495300751879699,0:00:06.971729
0.25,32,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9107142857142857,0.7368421052631579,0:00:06.977364
0.25,32,0.1,16,200,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8446428571428571,0.8146227638060668,0:00:13.809065
0.25,32,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:13.240238
0.25,32,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.55,0.7368421052631579,0:00:14.846221
0.25,32,0.1,16,200,1,adam,relu,sum,0.8157894736842105,0.3636363636363636,0.9089285714285714,0.8,0:00:14.239511
0.25,32,0.1,16,200,1,RMSprop,relu,mean,0.7894736842105263,0.3333333333333333,0.7446428571428572,0.7920720919946925,0:00:14.156615
0.25,32,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8946428571428572,0.7368421052631579,0:00:13.605971
0.5,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:00.710419
0.5,32,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9107142857142857,0.7368421052631579,0:00:00.682698
0.5,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.4982142857142858,0.7368421052631579,0:00:00.736683
0.5,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:00.719667
0.5,32,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5660714285714286,0.7368421052631579,0:00:00.746390
0.5,32,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8517857142857143,0.7368421052631579,0:00:00.679208
0.5,32,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8196428571428571,0.7989934513703613,0:00:03.404845
0.5,32,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9214285714285714,0.7368421052631579,0:00:03.611227
0.5,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.4714285714285714,0.7368421052631579,0:00:03.756437
0.5,32,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.9089285714285714,0.8399570354457572,0:00:03.488893
0.5,32,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5339285714285714,0.7368421052631579,0:00:03.505445
0.5,32,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8232142857142857,0.7368421052631579,0:00:03.533675
0.5,32,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8374999999999999,0.7989934513703613,0:00:06.762575
0.5,32,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9196428571428572,0.7368421052631579,0:00:06.596709
0.5,32,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.19285714285714284,0.7368421052631579,0:00:07.631908
0.5,32,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:06.889193
0.5,32,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.5892857142857143,0.7368421052631579,0:00:07.113688
0.5,32,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285713,0.7368421052631579,0:00:06.739185
0.5,32,0.1,16,200,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8446428571428571,0.8146227638060668,0:00:13.924633
0.5,32,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:14.647451
0.5,32,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.6,0.7368421052631579,0:00:18.920214
0.5,32,0.1,16,200,1,adam,relu,sum,0.8157894736842105,0.3636363636363636,0.9089285714285714,0.8,0:00:21.307502
0.5,32,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.40535714285714286,0.7368421052631579,0:00:22.611449
0.5,32,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285713,0.7368421052631579,0:00:21.560723
0.75,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8125,0.7368421052631579,0:00:01.206209
0.75,32,0.1,16,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.114430
0.75,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.5,0.7368421052631579,0:00:01.192152
0.75,32,0.1,16,10,1,adam,relu,sum,0.7631578947368421,0.30769230769230765,0.9089285714285714,0.7567567567567568,0:00:01.171948
0.75,32,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.6910714285714287,0.7368421052631579,0:00:01.214338
0.75,32,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:01.081566
0.75,32,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8196428571428571,0.7989934513703613,0:00:06.120116
0.75,32,0.1,16,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:04.619674
0.75,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.8142857142857143,0.7368421052631579,0:00:04.388252
0.75,32,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:03.814926
0.75,32,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.7875000000000001,0.7368421052631579,0:00:03.826902
0.75,32,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9053571428571429,0.7368421052631579,0:00:03.672513
0.75,32,0.1,16,100,1,SGD,relu,mean,0.7894736842105263,0.2,0.8339285714285714,0.8229949874686716,0:00:07.351731
0.75,32,0.1,16,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:07.757719
0.75,32,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.09999999999999999,0.7368421052631579,0:00:08.801498
0.75,32,0.1,16,100,1,adam,relu,sum,0.7631578947368421,0.30769230769230765,0.9089285714285714,0.7567567567567568,0:00:08.236645
0.75,32,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.8035714285714285,0.7495300751879699,0:00:08.940580
0.75,32,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:07.925395
0.75,32,0.1,16,200,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8446428571428571,0.8146227638060668,0:00:15.580292
0.75,32,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:14.750922
0.75,32,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.3357142857142857,0.7368421052631579,0:00:16.053901
0.75,32,0.1,16,200,1,adam,relu,sum,0.7894736842105263,0.3333333333333333,0.9089285714285714,0.8070958646616541,0:00:15.686293
0.75,32,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.7446428571428572,0.7495300751879699,0:00:16.092139
0.75,32,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.9089285714285714,0.7368421052631579,0:00:15.802333
0.25,32,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7982142857142858,0.7368421052631579,0:00:00.444890
0.25,32,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.8982142857142857,0.7368421052631579,0:00:00.446101
0.25,32,0.1,32,10,1,adam,relu,mean,0.7631578947368421,0.18181818181818182,0.8232142857142858,0.7842333105491,0:00:00.467701
0.25,32,0.1,32,10,1,adam,relu,sum,0.7631578947368421,0.18181818181818182,0.8482142857142857,0.8493233082706766,0:00:00.488075
0.25,32,0.1,32,10,1,RMSprop,relu,mean,0.4473684210526316,0,0,0.8026315789473684,0:00:00.426995
0.25,32,0.1,32,10,1,RMSprop,relu,sum,0.23684210526315788,0,0.2517857142857143,0.7368421052631579,0:00:00.496865
0.25,32,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8089285714285714,0.7368421052631579,0:00:02.350611
0.25,32,0.1,32,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:02.288602
0.25,32,0.1,32,50,1,adam,relu,mean,0.7368421052631579,0.16666666666666666,0.8125,0.7764920112781954,0:00:02.224388
0.25,32,0.1,32,50,1,adam,relu,sum,0.8157894736842105,0.36363636363636365,0.9160714285714286,0.8152768284347232,0:00:02.296968
0.25,32,0.1,32,50,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.7964285714285714,0.8146227638060668,0:00:02.522479
0.25,32,0.1,32,50,1,RMSprop,relu,sum,0.8157894736842105,0.2222222222222222,0.8125,0.8872932330827068,0:00:02.181758
0.25,32,0.1,32,100,1,SGD,relu,mean,0.7894736842105263,0.2,0.8160714285714286,0.8229949874686716,0:00:04.440296
0.25,32,0.1,32,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:04.064485
0.25,32,0.1,32,100,1,adam,relu,mean,0.8157894736842105,0.22222222222222224,0.8160714285714286,0.8671679197994987,0:00:04.375841
0.25,32,0.1,32,100,1,adam,relu,sum,0.868421052631579,0.28571428571428575,0.8982142857142859,0.9281203007518796,0:00:04.422791
0.25,32,0.1,32,100,1,RMSprop,relu,mean,0.7894736842105263,0.2,0.7696428571428572,0.8070958646616541,0:00:04.560209
0.25,32,0.1,32,100,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.8267857142857142,0.7567567567567568,0:00:04.038591
0.25,32,0.1,32,200,1,SGD,relu,mean,0.7894736842105263,0.20000000000000004,0.8339285714285714,0.8399570354457572,0:00:08.395353
0.25,32,0.1,32,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:08.288150
0.25,32,0.1,32,200,1,adam,relu,mean,0.8157894736842105,0.22222222222222224,0.8196428571428571,0.8671679197994987,0:00:08.814068
0.25,32,0.1,32,200,1,adam,relu,sum,0.6842105263157895,0.14285714285714288,0.9089285714285714,0.8872180451127819,0:00:08.682432
0.25,32,0.1,32,200,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.7285714285714286,0.8313143971038708,0:00:08.721993
0.25,32,0.1,32,200,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.8232142857142857,0.7701933404940924,0:00:08.140192
0.5,32,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:00.408448
0.5,32,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.8107142857142857,0.7368421052631579,0:00:00.453160
0.5,32,0.1,32,10,1,adam,relu,mean,0.7631578947368421,0.3076923076923077,0.7910714285714286,0.7989934513703613,0:00:00.433966
