dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.4089285714285714,0.7368421052631579,0:00:05.195053
0.25,5,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9125,0.7368421052631579,0:00:00.503865
0.25,5,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.30769230769230765,0.8089285714285714,0.7701933404940924,0:00:00.571490
0.25,5,0.01,16,10,1,adam,relu,sum,0.7368421052631579,0.2857142857142857,0.8982142857142857,0.7495300751879699,0:00:00.535096
0.25,5,0.01,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.30769230769230765,0.8321428571428572,0.7701933404940924,0:00:00.535748
0.25,5,0.01,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.30769230769230765,0.8964285714285715,0.7567567567567568,0:00:00.523258
0.25,5,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7553571428571428,0.7368421052631579,0:00:02.488257
0.25,5,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.3333333333333333,0.8928571428571429,0.7920720919946925,0:00:02.422649
0.25,5,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8321428571428572,0.8399570354457572,0:00:02.596277
0.25,5,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.2,0.9053571428571427,0.8229949874686716,0:00:02.677547
0.25,5,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8357142857142859,0.8146227638060668,0:00:02.616377
0.25,5,0.01,16,50,1,RMSprop,relu,sum,0.8421052631578947,0.25,0.8892857142857143,0.918781328320802,0:00:02.449181
0.25,5,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7910714285714285,0.7368421052631579,0:00:04.913003
0.25,5,0.01,16,100,1,SGD,relu,sum,0.7894736842105263,0.2,0.8839285714285715,0.9001196172248804,0:00:04.801916
0.25,5,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8357142857142857,0.8146227638060668,0:00:05.330784
0.25,5,0.01,16,100,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8839285714285715,0.8399570354457572,0:00:05.101484
0.25,5,0.01,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.2,0.8285714285714285,0.8781328320802004,0:00:05.065719
0.25,5,0.01,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.19999999999999998,0.8803571428571428,0.924812030075188,0:00:04.883165
0.25,5,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8035714285714286,0.7368421052631579,0:00:09.807226
0.25,5,0.01,16,200,1,SGD,relu,sum,0.8157894736842105,0.22222222222222224,0.9107142857142857,0.8486518019185895,0:00:09.550319
0.25,5,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8107142857142857,0.8146227638060668,0:00:10.333898
0.25,5,0.01,16,200,1,adam,relu,sum,0.7368421052631579,0.16666666666666666,0.875,0.7909774436090226,0:00:10.150920
0.25,5,0.01,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8196428571428571,0.8146227638060668,0:00:10.259663
0.25,5,0.01,16,200,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.9000000000000001,0.8146227638060668,0:00:09.804761
0.5,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.40535714285714286,0.7368421052631579,0:00:00.526793
0.5,5,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9142857142857144,0.7368421052631579,0:00:00.512022
0.5,5,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.30769230769230765,0.8089285714285714,0.7701933404940924,0:00:00.553680
0.5,5,0.01,16,10,1,adam,relu,sum,0.7368421052631579,0.28571428571428575,0.8767857142857143,0.7627156125608138,0:00:00.537668
0.5,5,0.01,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.30769230769230765,0.8321428571428572,0.7567567567567568,0:00:00.539507
0.5,5,0.01,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8964285714285715,0.7495300751879699,0:00:00.524792
0.5,5,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7553571428571428,0.7368421052631579,0:00:02.430286
