dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.4196428571428571,0.7368421052631579,0:00:00.411924
0.25,5,0.01,16,10,1,SGD,relu,sum,0.7105263157894737,0.7924528301886793,0.7428571428571429,0.8142105263157895,0:00:00.401934
0.25,5,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8333333333333333,0.8160714285714286,0.7764920112781954,0:00:00.439859
0.25,5,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8839285714285715,0.8229949874686716,0:00:00.404895
0.25,5,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:00.397717
0.25,5,0.01,16,10,1,RMSprop,relu,sum,0.8421052631578947,0.8846153846153847,0.8892857142857142,0.918781328320802,0:00:00.424201
0.25,5,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7517857142857143,0.7368421052631579,0:00:01.852691
0.25,5,0.01,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:01.803767
0.25,5,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142856,0.8399570354457572,0:00:01.865766
0.25,5,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8946428571428571,0.8486518019185895,0:00:01.854750
0.25,5,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8474576271186439,0.842857142857143,0.7989934513703613,0:00:01.815232
0.25,5,0.01,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.8620689655172413,0.9107142857142857,0.8229949874686716,0:00:01.768697
0.25,5,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428571,0.7368421052631579,0:00:03.476806
0.25,5,0.01,16,100,1,SGD,relu,sum,0.7894736842105263,0.8666666666666666,0.9071428571428571,0.8070958646616541,0:00:03.454551
0.25,5,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8375,0.8146227638060668,0:00:03.751569
0.25,5,0.01,16,100,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8785714285714286,0.8399570354457572,0:00:03.688423
0.25,5,0.01,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8474576271186439,0.842857142857143,0.7989934513703613,0:00:03.583608
0.25,5,0.01,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8946428571428572,0.8229949874686716,0:00:03.637488
0.25,5,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:07.005106
0.25,5,0.01,16,200,1,SGD,relu,sum,0.5263157894736842,0.5263157894736842,0.8839285714285714,0.8308270676691729,0:00:06.434574
0.25,5,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8107142857142857,0.8146227638060668,0:00:07.459740
0.25,5,0.01,16,200,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8035714285714286,0.8229949874686716,0:00:07.364371
0.25,5,0.01,16,200,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714285,0.8399570354457572,0:00:08.055901
0.25,5,0.01,16,200,1,RMSprop,relu,sum,0.5526315789473685,0.5641025641025641,0.8517857142857144,0.8402255639097744,0:00:07.618774
0.5,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.40535714285714286,0.7368421052631579,0:00:00.386925
0.5,5,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8333333333333333,0.8250000000000001,0.7764920112781954,0:00:00.321735
0.5,5,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8125,0.7567567567567568,0:00:00.358481
