dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6053571428571429,0.7368421052631579,0:00:01.292381
0.25,5,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.492424
0.25,5,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:00.583903
0.25,5,0.01,16,10,1,adam,relu,sum,0.7368421052631579,0.8437499999999999,0.8946428571428571,0.7495300751879699,0:00:00.526949
0.25,5,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:00.515414
0.25,5,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.8571428571428572,0.9,0.7701933404940924,0:00:00.511133
0.25,5,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7482142857142857,0.7368421052631579,0:00:02.356612
0.25,5,0.01,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428572,0.7368421052631579,0:00:02.625529
0.25,5,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714285,0.8399570354457572,0:00:02.625336
0.25,5,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8892857142857142,0.8229949874686716,0:00:02.557531
0.25,5,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8357142857142857,0.8146227638060668,0:00:02.504338
0.25,5,0.01,16,50,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9071428571428571,0.8486518019185895,0:00:02.429577
0.25,5,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:04.872531
0.25,5,0.01,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:04.764129
0.25,5,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.825,0.8146227638060668,0:00:05.129901
0.25,5,0.01,16,100,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.8964285714285714,0.876141245972073,0:00:05.241835
0.25,5,0.01,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8428571428571429,0.8399570354457572,0:00:05.004466
0.25,5,0.01,16,100,1,rmsprop,relu,sum,0.39473684210526316,0.30303030303030304,0.8857142857142858,0.7838345864661654,0:00:05.102726
