dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7696428571428571,0.7368421052631579,0:00:00.491888
0.25,32,0.1,16,10,1,SGD,relu,sum,0.8421052631578947,0.896551724137931,0.9142857142857143,0.8573934837092732,0:00:00.409808
0.25,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:00.404690
0.25,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.55,0.7368421052631579,0:00:00.401024
0.25,32,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.383555
0.25,32,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5392857142857143,0.7368421052631579,0:00:00.356194
0.25,32,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:01.625036
0.25,32,0.1,16,50,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9214285714285715,0.9281203007518796,0:00:01.585673
0.25,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8148148148148148,0.8035714285714285,0.82272990167727,0:00:01.762694
0.25,32,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.55,0.7368421052631579,0:00:01.820885
0.25,32,0.1,16,50,1,rmsprop,relu,mean,0.2631578947368421,0,0.5321428571428571,0.7368421052631579,0:00:01.668924
0.25,32,0.1,16,50,1,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:01.832278
0.25,32,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:03.295657
0.25,32,0.1,16,100,1,SGD,relu,sum,0.8157894736842105,0.888888888888889,0.9196428571428572,0.8,0:00:03.114142
0.25,32,0.1,16,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8250000000000001,0.8399570354457572,0:00:03.643567
0.25,32,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.824841
0.25,32,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.321414
0.25,32,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.389238
0.25,32,0.1,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7982142857142858,0.7368421052631579,0:00:06.376794
0.25,32,0.1,16,200,1,SGD,relu,sum,0.7368421052631579,0.782608695652174,0.9267857142857143,0.9060150375939849,0:00:06.517141
0.25,32,0.1,16,200,1,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.8482142857142857,0.8313143971038708,0:00:07.107023
0.25,32,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.061890
0.25,32,0.1,16,200,1,rmsprop,relu,mean,0.2631578947368421,0,0.5392857142857143,0.7368421052631579,0:00:06.728110
0.25,32,0.1,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:06.669602
0.5,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142857,0.7368421052631579,0:00:00.342692
0.5,32,0.1,16,10,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9089285714285714,0.8486518019185895,0:00:00.344309
0.5,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.805357142857143,0.7368421052631579,0:00:00.388603
0.5,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.379862
0.5,32,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5392857142857143,0.7368421052631579,0:00:00.405151
0.5,32,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.366589
0.5,32,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:01.601784
0.5,32,0.1,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9303571428571429,0.876141245972073,0:00:01.584757
0.5,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857142,0.7368421052631579,0:00:01.773697
0.5,32,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.776811
0.5,32,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.693104
0.5,32,0.1,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5392857142857143,0.7368421052631579,0:00:01.704006
0.5,32,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:03.209612
0.5,32,0.1,16,100,1,SGD,relu,sum,0.8157894736842105,0.888888888888889,0.9160714285714285,0.8,0:00:03.123503
0.5,32,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8148148148148148,0.7839285714285714,0.82272990167727,0:00:03.559072
0.5,32,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.620361
0.5,32,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.470276
0.5,32,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.424444
0.5,32,0.1,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857142,0.7368421052631579,0:00:06.324369
0.5,32,0.1,16,200,1,SGD,relu,sum,0.8157894736842105,0.8571428571428571,0.9214285714285715,0.9342105263157895,0:00:06.363043
0.5,32,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8076923076923077,0.7625000000000001,0.8404605263157895,0:00:07.260228
0.5,32,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.195569
0.5,32,0.1,16,200,1,rmsprop,relu,mean,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:06.742470
0.5,32,0.1,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:06.625451
0.75,32,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.780357142857143,0.7368421052631579,0:00:00.349014
0.75,32,0.1,16,10,1,SGD,relu,sum,0.8421052631578947,0.896551724137931,0.9160714285714285,0.8573934837092732,0:00:00.338570
0.75,32,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:00.379335
0.75,32,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.378363
0.75,32,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.367932
0.75,32,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.345463
0.75,32,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7017857142857142,0.7368421052631579,0:00:01.606689
0.75,32,0.1,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9267857142857142,0.876141245972073,0:00:01.586646
0.75,32,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8035714285714285,0.7368421052631579,0:00:01.794908
0.75,32,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.789620
0.75,32,0.1,16,50,1,rmsprop,relu,mean,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:01.690217
0.75,32,0.1,16,50,1,rmsprop,relu,sum,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:01.679150
0.75,32,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2232142857142857,0.7368421052631579,0:00:03.249334
0.75,32,0.1,16,100,1,SGD,relu,sum,0.8157894736842105,0.888888888888889,0.9196428571428572,0.8,0:00:03.406900
0.75,32,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7857142857142856,0.7368421052631579,0:00:03.680095
0.75,32,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.499868
0.75,32,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.376436
