dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7339285714285714,0.7368421052631579,0:00:00.482991
0.25,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:00.298963
0.25,64,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:00.348279
0.25,64,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8982142857142857,0.8399570354457572,0:00:00.318773
0.25,64,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:00.315956
0.25,64,0.01,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8910714285714286,0.8229949874686716,0:00:00.302354
0.25,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:01.384195
0.25,64,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.8666666666666666,0.8946428571428571,0.8070958646616541,0:00:01.457042
0.25,64,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.8232142857142857,0.8229949874686716,0:00:01.724420
0.25,64,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.9017857142857142,0.8229949874686716,0:00:01.525327
0.25,64,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142857,0.8146227638060668,0:00:01.533245
0.25,64,0.01,16,50,1,RMSprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9017857142857144,0.8486518019185895,0:00:01.654254
0.25,64,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:03.184614
0.25,64,0.01,16,100,1,SGD,relu,sum,0.7894736842105263,0.8571428571428571,0.8857142857142858,0.8399570354457572,0:00:03.118029
0.25,64,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.755357142857143,0.8146227638060668,0:00:03.393208
0.25,64,0.01,16,100,1,adam,relu,sum,0.6842105263157895,0.7391304347826088,0.8196428571428571,0.8628863826232247,0:00:03.066758
0.25,64,0.01,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.7571428571428571,0.8146227638060668,0:00:02.976040
0.25,64,0.01,16,100,1,RMSprop,relu,sum,0.8157894736842105,0.8727272727272727,0.8928571428571429,0.8671679197994987,0:00:03.038376
0.25,64,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:05.720198
0.25,64,0.01,16,200,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9089285714285714,0.8486518019185895,0:00:05.988520
0.25,64,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7482142857142856,0.8146227638060668,0:00:06.308946
0.25,64,0.01,16,200,1,adam,relu,sum,0.7894736842105263,0.846153846153846,0.8232142857142857,0.8781328320802004,0:00:06.295998
0.25,64,0.01,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.7482142857142857,0.8146227638060668,0:00:05.883559
0.25,64,0.01,16,200,1,RMSprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8232142857142858,0.8229949874686716,0:00:05.886903
0.5,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7410714285714286,0.7368421052631579,0:00:00.321977
0.5,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:00.305252
0.5,64,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.825,0.8399570354457572,0:00:00.349293
0.5,64,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8875,0.8399570354457572,0:00:00.406608
0.5,64,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8339285714285715,0.8399570354457572,0:00:00.377218
0.5,64,0.01,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8696428571428572,0.8399570354457572,0:00:00.381569
0.5,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:01.730588
0.5,64,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.8571428571428571,0.8857142857142857,0.8399570354457572,0:00:01.549760
0.5,64,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.8125,0.8229949874686716,0:00:01.587341
0.5,64,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8821428571428572,0.8229949874686716,0:00:01.584480
0.5,64,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.7839285714285715,0.8146227638060668,0:00:01.525257
