dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7339285714285714,0.7368421052631579,0:00:00.433591
0.25,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9160714285714286,0.7368421052631579,0:00:00.304438
0.25,64,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8321428571428572,0.8399570354457572,0:00:00.350403
0.25,64,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8982142857142857,0.8399570354457572,0:00:00.369024
0.25,64,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8357142857142857,0.8399570354457572,0:00:00.314013
0.25,64,0.01,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8910714285714286,0.8229949874686716,0:00:00.318257
0.25,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8,0.7368421052631579,0:00:01.370146
0.25,64,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.2,0.8946428571428571,0.8070958646616541,0:00:01.384666
0.25,64,0.01,16,50,1,adam,relu,mean,0.7894736842105263,0.2,0.8232142857142857,0.8229949874686716,0:00:01.633410
0.25,64,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.2,0.9017857142857142,0.8229949874686716,0:00:01.508868
0.25,64,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8232142857142857,0.8146227638060668,0:00:01.464639
0.25,64,0.01,16,50,1,RMSprop,relu,sum,0.8157894736842105,0.22222222222222224,0.9017857142857144,0.8486518019185895,0:00:01.508296
0.25,64,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:02.709177
0.25,64,0.01,16,100,1,SGD,relu,sum,0.7894736842105263,0.20000000000000004,0.8857142857142858,0.8399570354457572,0:00:02.757844
0.25,64,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.755357142857143,0.8146227638060668,0:00:03.277996
0.25,64,0.01,16,100,1,adam,relu,sum,0.6842105263157895,0.14285714285714285,0.8196428571428571,0.8628863826232247,0:00:03.429962
