dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7607142857142857,0.7368421052631579,0:00:00.442003
0.25,32,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8910714285714286,0.7368421052631579,0:00:00.387442
0.25,32,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142858,0.8146227638060668,0:00:00.439519
0.25,32,0.01,16,10,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9125,0.9056669451406293,0:00:00.410265
0.25,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.8666666666666666,0.8196428571428572,0.8070958646616541,0:00:00.392886
0.25,32,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8517857142857144,0.8146227638060668,0:00:00.384467
0.25,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7910714285714285,0.7368421052631579,0:00:01.812153
0.25,32,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.896551724137931,0.9035714285714286,0.8573934837092732,0:00:01.808693
0.25,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714287,0.8146227638060668,0:00:01.984390
0.25,32,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8785714285714286,0.8671679197994987,0:00:01.938656
0.25,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8285714285714286,0.8146227638060668,0:00:01.871197
0.25,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8785714285714287,0.8229949874686716,0:00:01.863746
0.25,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:03.648157
0.25,32,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9142857142857143,0.8486518019185895,0:00:03.602029
0.25,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8107142857142857,0.8146227638060668,0:00:03.963724
0.25,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8232142857142857,0.8671679197994987,0:00:03.944757
0.25,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8333333333333333,0.8267857142857143,0.7764920112781954,0:00:03.781168
0.25,32,0.01,16,100,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8928571428571429,0.8229949874686716,0:00:03.753774
0.25,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7875000000000001,0.7368421052631579,0:00:07.249624
0.25,32,0.01,16,200,1,SGD,relu,sum,0.868421052631579,0.9090909090909091,0.9142857142857143,0.9056669451406293,0:00:07.149428
0.25,32,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.7839285714285714,0.7909774436090226,0:00:08.384738
0.25,32,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.8196428571428571,0.876141245972073,0:00:07.871709
0.25,32,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.825,0.8146227638060668,0:00:07.602896
0.25,32,0.01,16,200,1,rmsprop,relu,sum,0.7368421052631579,0.7916666666666667,0.8464285714285714,0.881484962406015,0:00:07.494203
0.5,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7696428571428572,0.7368421052631579,0:00:00.376025
0.5,32,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8928571428571429,0.7368421052631579,0:00:00.375533
0.5,32,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8196428571428572,0.7567567567567568,0:00:00.420665
0.5,32,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.9160714285714285,0.8486518019185895,0:00:00.418185
0.5,32,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8387096774193549,0.8267857142857142,0.7627156125608138,0:00:00.404301
0.5,32,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8517857142857143,0.7368421052631579,0:00:00.388922
0.5,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7875,0.7368421052631579,0:00:01.820601
0.5,32,0.01,16,50,1,SGD,relu,sum,0.8157894736842105,0.8813559322033898,0.9071428571428573,0.8314334222653408,0:00:01.890052
0.5,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8267857142857143,0.8146227638060668,0:00:02.040845
0.5,32,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8624999999999999,0.8486518019185895,0:00:01.963951
0.5,32,0.01,16,50,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714286,0.8399570354457572,0:00:01.920293
0.5,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8589285714285715,0.8229949874686716,0:00:01.886152
0.5,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857142,0.7368421052631579,0:00:03.690788
0.5,32,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9125,0.8486518019185895,0:00:03.576753
0.5,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8285714285714286,0.8146227638060668,0:00:04.018188
0.5,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8321428571428571,0.8671679197994987,0:00:03.915086
0.5,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8333333333333333,0.8267857142857143,0.7764920112781954,0:00:03.837616
0.5,32,0.01,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.888888888888889,0.8839285714285715,0.8,0:00:03.762282
0.5,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428571,0.7368421052631579,0:00:07.285799
0.5,32,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9160714285714285,0.876141245972073,0:00:07.188696
0.5,32,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8333333333333333,0.8160714285714286,0.7764920112781954,0:00:08.028111
0.5,32,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.825,0.8671679197994987,0:00:08.881361
0.5,32,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.825,0.8146227638060668,0:00:07.883608
0.5,32,0.01,16,200,1,rmsprop,relu,sum,0.7105263157894737,0.7755102040816326,0.8017857142857143,0.8507876834944504,0:00:07.439605
0.75,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7607142857142858,0.7368421052631579,0:00:00.380489
