dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857142,0.7368421052631579,0:00:01.851942
0.25,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:01.480581
0.25,64,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8357142857142857,0.8146227638060668,0:00:01.525967
0.25,64,0.01,16,10,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.9178571428571429,0.896471949103528,0:00:01.655411
0.25,64,0.01,16,10,1,rmsprop,relu,mean,0.7631578947368421,0.8363636363636364,0.8464285714285715,0.8313143971038708,0:00:01.626669
0.25,64,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9232142857142858,0.7368421052631579,0:00:01.518423
0.25,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857144,0.7368421052631579,0:00:07.089731
0.25,64,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:06.649636
0.25,64,0.01,16,50,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8482142857142857,0.7909774436090226,0:00:08.067801
0.25,64,0.01,16,50,1,adam,relu,sum,0.7631578947368421,0.8163265306122449,0.8928571428571429,0.8907984246330111,0:00:04.863044
0.25,64,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8464285714285714,0.8146227638060668,0:00:02.706252
0.25,64,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8339285714285715,0.8399570354457572,0:00:02.924179
0.25,64,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857143,0.7368421052631579,0:00:05.514761
0.25,64,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.925,0.8671679197994987,0:00:04.647089
0.25,64,0.01,16,100,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.85,0.7909774436090226,0:00:03.810150
0.25,64,0.01,16,100,1,adam,relu,sum,0.7631578947368421,0.8163265306122449,0.8517857142857144,0.8907984246330111,0:00:03.723814
0.25,64,0.01,16,100,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8321428571428572,0.8146227638060668,0:00:03.409306
0.25,64,0.01,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8275862068965516,0.8267857142857142,0.7909774436090226,0:00:03.603171
0.25,64,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7964285714285715,0.7368421052631579,0:00:06.689726
0.25,64,0.01,16,200,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9214285714285715,0.8671679197994987,0:00:07.198729
0.25,64,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8357142857142857,0.7909774436090226,0:00:08.082747
0.25,64,0.01,16,200,1,adam,relu,sum,0.7631578947368421,0.830188679245283,0.8124999999999999,0.8493233082706766,0:00:08.033725
0.25,64,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714286,0.8146227638060668,0:00:06.732326
0.25,64,0.01,16,200,1,rmsprop,relu,sum,0.7368421052631579,0.8333333333333333,0.8267857142857142,0.7764920112781954,0:00:06.348927
0.5,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857142,0.7368421052631579,0:00:00.325238
0.5,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:00.301279
0.5,64,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8524590163934425,0.8285714285714286,0.7842333105491,0:00:00.369132
0.5,64,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8679245283018868,0.9107142857142857,0.8872932330827068,0:00:00.370034
0.5,64,0.01,16,10,1,rmsprop,relu,mean,0.7631578947368421,0.8524590163934425,0.8357142857142857,0.7842333105491,0:00:00.352176
0.5,64,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8339285714285715,0.7368421052631579,0:00:00.347426
0.5,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7803571428571429,0.7368421052631579,0:00:01.564513
0.5,64,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9214285714285715,0.876141245972073,0:00:01.548946
0.5,64,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8446428571428571,0.8146227638060668,0:00:01.697581
0.5,64,0.01,16,50,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.8571428571428571,0.896471949103528,0:00:01.698109
0.5,64,0.01,16,50,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:01.604245
0.5,64,0.01,16,50,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.8785714285714286,0.8671679197994987,0:00:01.559773
0.5,64,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:03.063048
0.5,64,0.01,16,100,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:03.340381
0.5,64,0.01,16,100,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8392857142857143,0.7909774436090226,0:00:03.462500
0.5,64,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8285714285714285,0.8671679197994987,0:00:03.258865
0.5,64,0.01,16,100,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8392857142857143,0.8146227638060668,0:00:03.296582
0.5,64,0.01,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.8714285714285714,0.8671679197994987,0:00:03.203475
0.5,64,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8178571428571428,0.7368421052631579,0:00:06.282871
0.5,64,0.01,16,200,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9178571428571428,0.8671679197994987,0:00:05.975946
0.5,64,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142857,0.8146227638060668,0:00:06.887231
0.5,64,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8053571428571429,0.8671679197994987,0:00:07.162688
0.5,64,0.01,16,200,1,rmsprop,relu,mean,0.7368421052631579,0.8275862068965516,0.8267857142857142,0.7909774436090226,0:00:06.810445
0.5,64,0.01,16,200,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8214285714285714,0.8399570354457572,0:00:06.791631
0.75,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7839285714285715,0.7368421052631579,0:00:00.426040
0.75,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:00.394856
0.75,64,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:00.462269
0.75,64,0.01,16,10,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9125,0.876141245972073,0:00:00.378484
0.75,64,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8250000000000002,0.7368421052631579,0:00:00.380484
0.75,64,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.09464285714285714,0.7368421052631579,0:00:00.350260
0.75,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.663442
0.75,64,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.896551724137931,0.9160714285714286,0.8573934837092732,0:00:01.647211
0.75,64,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8321428571428571,0.8146227638060668,0:00:01.809396
0.75,64,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8982142857142857,0.8486518019185895,0:00:02.002523
0.75,64,0.01,16,50,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:01.785282
