dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7803571428571429,0.7368421052631579,0:00:00.479419
0.25,32,0.01,16,10,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.8321428571428571,0.7701933404940924,0:00:00.343232
0.25,32,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8267857142857143,0.8399570354457572,0:00:00.374976
0.25,32,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8642857142857143,0.8399570354457572,0:00:00.358609
0.25,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8303571428571428,0.8399570354457572,0:00:00.351664
0.25,32,0.01,16,10,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8982142857142857,0.8399570354457572,0:00:00.343728
0.25,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:01.598609
0.25,32,0.01,16,50,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.8910714285714286,0.8486518019185895,0:00:01.559425
0.25,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7946428571428571,0.8146227638060668,0:00:01.922002
0.25,32,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8375000000000001,0.8229949874686716,0:00:01.845631
0.25,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8339285714285715,0.8146227638060668,0:00:01.691376
0.25,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8821428571428571,0.8229949874686716,0:00:01.700786
0.25,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:03.817218
0.25,32,0.01,16,100,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.9089285714285715,0.7701933404940924,0:00:03.670899
0.25,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7464285714285714,0.8146227638060668,0:00:03.832099
0.25,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8232142857142857,0.8486518019185895,0:00:03.490354
0.25,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8333333333333333,0.8303571428571429,0.7764920112781954,0:00:03.445218
0.25,32,0.01,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8852459016393442,0.8553571428571428,0.8152768284347232,0:00:03.418433
0.25,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8107142857142857,0.7368421052631579,0:00:06.416260
0.25,32,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.888888888888889,0.9035714285714286,0.896471949103528,0:00:06.226292
0.25,32,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7517857142857144,0.8146227638060668,0:00:07.220277
0.25,32,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.8303571428571428,0.896471949103528,0:00:07.049652
0.25,32,0.01,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.7517857142857143,0.8399570354457572,0:00:06.871588
0.25,32,0.01,16,200,1,rmsprop,relu,sum,0.7105263157894737,0.7659574468085106,0.8089285714285714,0.8721804511278195,0:00:06.596803
0.5,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7803571428571429,0.7368421052631579,0:00:00.344721
0.5,32,0.01,16,10,1,SGD,relu,sum,0.7631578947368421,0.8615384615384616,0.8678571428571429,0.7567567567567568,0:00:00.331825
0.5,32,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714286,0.8399570354457572,0:00:00.378448
0.5,32,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8714285714285714,0.8486518019185895,0:00:00.367040
0.5,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8303571428571429,0.8399570354457572,0:00:00.370513
0.5,32,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8785714285714286,0.8146227638060668,0:00:00.364561
0.5,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:01.644240
0.5,32,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.8857142857142857,0.8229949874686716,0:00:01.595137
0.5,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714285,0.8146227638060668,0:00:01.805937
0.5,32,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8857142857142858,0.8229949874686716,0:00:01.760305
0.5,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8375,0.8146227638060668,0:00:01.716657
0.5,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8839285714285715,0.8229949874686716,0:00:01.700785
0.5,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:03.244338
0.5,32,0.01,16,100,1,SGD,relu,sum,0.7894736842105263,0.8750000000000001,0.9107142857142857,0.7777777777777778,0:00:03.150593
0.5,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8125,0.8146227638060668,0:00:03.628738
0.5,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8875000000000001,0.8486518019185895,0:00:03.514659
0.5,32,0.01,16,100,1,rmsprop,relu,mean,0.7631578947368421,0.8524590163934425,0.8267857142857142,0.7842333105491,0:00:03.441251
0.5,32,0.01,16,100,1,rmsprop,relu,sum,0.7894736842105263,0.8709677419354839,0.8910714285714286,0.7920720919946925,0:00:03.341058
0.5,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:06.495124
0.5,32,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.888888888888889,0.8982142857142857,0.896471949103528,0:00:06.317060
0.5,32,0.01,16,200,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.7285714285714286,0.8229949874686716,0:00:07.269876
0.5,32,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8160714285714287,0.8671679197994987,0:00:07.039733
0.5,32,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.7535714285714284,0.8146227638060668,0:00:06.844804
