dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time

0.25,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7803571428571429,0.7368421052631579,0:00:00.403934
0.25,32,0.01,16,10,1,SGD,relu,sum,0.7631578947368421,0.1818181818181818,0.8321428571428571,0.7701933404940924,0:00:00.348724
0.25,32,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8267857142857143,0.8399570354457572,0:00:00.400992
0.25,32,0.01,16,10,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8642857142857143,0.8399570354457572,0:00:00.391953
0.25,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8303571428571428,0.8399570354457572,0:00:00.368812
0.25,32,0.01,16,10,1,rmsprop,relu,sum,0.7894736842105263,0.20000000000000004,0.8982142857142857,0.8399570354457572,0:00:00.361122
0.25,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8,0.7368421052631579,0:00:01.716932
0.25,32,0.01,16,50,1,SGD,relu,sum,0.8157894736842105,0.22222222222222224,0.8910714285714286,0.8486518019185895,0:00:01.881061
0.25,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.7946428571428571,0.8146227638060668,0:00:01.985003
0.25,32,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.2,0.8375000000000001,0.8229949874686716,0:00:01.831360
0.25,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8339285714285715,0.8146227638060668,0:00:01.821535
0.25,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.2,0.8821428571428571,0.8229949874686716,0:00:01.733128
0.25,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8125,0.7368421052631579,0:00:03.747117
0.25,32,0.01,16,100,1,SGD,relu,sum,0.7631578947368421,0.30769230769230765,0.9089285714285715,0.7701933404940924,0:00:03.418868
0.25,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.7464285714285714,0.8146227638060668,0:00:03.799422
0.25,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.22222222222222224,0.8232142857142857,0.8486518019185895,0:00:03.827934
0.25,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.16666666666666666,0.8303571428571429,0.7764920112781954,0:00:03.553081
0.25,32,0.01,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.36363636363636365,0.8553571428571428,0.8152768284347232,0:00:03.521435
0.25,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8107142857142857,0.7368421052631579,0:00:07.055631
0.25,32,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.25,0.9035714285714286,0.896471949103528,0:00:06.774097
0.25,32,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.7517857142857144,0.8146227638060668,0:00:07.964338
0.25,32,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.25,0.8303571428571428,0.896471949103528,0:00:08.108316
0.25,32,0.01,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.20000000000000004,0.7517857142857143,0.8399570354457572,0:00:08.009735
0.25,32,0.01,16,200,1,rmsprop,relu,sum,0.7105263157894737,0.15384615384615383,0.8089285714285714,0.8721804511278195,0:00:07.968777
0.5,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7803571428571429,0.7368421052631579,0:00:00.429827
0.5,32,0.01,16,10,1,SGD,relu,sum,0.7631578947368421,0.30769230769230765,0.8678571428571429,0.7567567567567568,0:00:00.393994
0.5,32,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.20000000000000004,0.8285714285714286,0.8399570354457572,0:00:00.422329
0.5,32,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.22222222222222224,0.8714285714285714,0.8486518019185895,0:00:00.462170
0.5,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.20000000000000004,0.8303571428571429,0.8399570354457572,0:00:00.464389
0.5,32,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.1818181818181818,0.8785714285714286,0.8146227638060668,0:00:00.396472
0.5,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8,0.7368421052631579,0:00:01.891282
0.5,32,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.2,0.8857142857142857,0.8229949874686716,0:00:02.070092
0.5,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8410714285714285,0.8146227638060668,0:00:02.003326
0.5,32,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.2,0.8857142857142858,0.8229949874686716,0:00:01.921651
0.5,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8375,0.8146227638060668,0:00:01.977277
0.5,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.2,0.8839285714285715,0.8229949874686716,0:00:02.145205
