dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:00.518565
0.25,64,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9232142857142858,0.7368421052631579,0:00:00.403236
0.25,64,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8428571428571429,0.8146227638060668,0:00:00.469825
0.25,64,0.01,16,10,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.9178571428571429,0.896471949103528,0:00:00.452959
0.25,64,0.01,16,10,1,rmsprop,relu,mean,0.7631578947368421,0.8363636363636364,0.8464285714285715,0.8313143971038708,0:00:00.676810
0.25,64,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.08392857142857144,0.7368421052631579,0:00:00.947858
0.25,64,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.21964285714285714,0.7368421052631579,0:00:02.035771
0.25,64,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:01.898571
0.25,64,0.01,16,50,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8482142857142857,0.7909774436090226,0:00:02.304964
0.25,64,0.01,16,50,1,adam,relu,sum,0.7631578947368421,0.8163265306122449,0.8910714285714285,0.8907984246330111,0:00:03.806458
0.25,64,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8482142857142857,0.8146227638060668,0:00:02.851208
0.25,64,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8339285714285715,0.8399570354457572,0:00:02.664984
0.25,64,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2839285714285715,0.7368421052631579,0:00:04.969717
0.25,64,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9214285714285715,0.8671679197994987,0:00:05.025857
0.25,64,0.01,16,100,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.85,0.7909774436090226,0:00:06.241517
0.25,64,0.01,16,100,1,adam,relu,sum,0.7631578947368421,0.8163265306122449,0.8517857142857144,0.8907984246330111,0:00:05.985622
0.25,64,0.01,16,100,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8321428571428572,0.8146227638060668,0:00:05.086381
