dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7035714285714286,0.7368421052631579,0:00:00.508916
0.25,32,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8910714285714285,0.7368421052631579,0:00:00.339264
0.25,32,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142858,0.8146227638060668,0:00:00.402256
0.25,32,0.01,16,10,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9089285714285714,0.9056669451406293,0:00:00.372992
0.25,32,0.01,16,10,1,rmsprop,relu,mean,0.7894736842105263,0.8666666666666666,0.8196428571428572,0.8070958646616541,0:00:00.359104
0.25,32,0.01,16,10,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8482142857142857,0.8146227638060668,0:00:00.349681
0.25,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7517857142857143,0.7368421052631579,0:00:01.639777
0.25,32,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.896551724137931,0.9107142857142858,0.8573934837092732,0:00:01.621425
0.25,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714287,0.8146227638060668,0:00:01.849584
0.25,32,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.875,0.8671679197994987,0:00:01.734513
0.25,32,0.01,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8303571428571429,0.8146227638060668,0:00:01.695825
0.25,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8767857142857144,0.8229949874686716,0:00:01.655182
0.25,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7696428571428571,0.7368421052631579,0:00:03.625267
0.25,32,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9178571428571429,0.8486518019185895,0:00:03.715041
0.25,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8089285714285714,0.8146227638060668,0:00:04.006690
0.25,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8232142857142857,0.8671679197994987,0:00:03.888642
0.25,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8333333333333333,0.8267857142857143,0.7764920112781954,0:00:03.596995
0.25,32,0.01,16,100,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.9,0.8229949874686716,0:00:03.359410
0.25,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7875,0.7368421052631579,0:00:06.780324
0.25,32,0.01,16,200,1,SGD,relu,sum,0.868421052631579,0.9090909090909091,0.9160714285714286,0.9056669451406293,0:00:06.937556
0.25,32,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.7839285714285714,0.7909774436090226,0:00:07.709333
0.25,32,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.8160714285714286,0.876141245972073,0:00:07.404293
0.25,32,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8285714285714285,0.8146227638060668,0:00:07.963286
0.25,32,0.01,16,200,1,rmsprop,relu,sum,0.7368421052631579,0.7916666666666667,0.8517857142857143,0.881484962406015,0:00:07.243588
0.5,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6982142857142858,0.7368421052631579,0:00:00.353152
0.5,32,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8892857142857142,0.7368421052631579,0:00:00.357120
0.5,32,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8196428571428572,0.7567567567567568,0:00:00.391840
0.5,32,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.9089285714285715,0.8486518019185895,0:00:00.397297
0.5,32,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8387096774193549,0.8267857142857142,0.7627156125608138,0:00:00.370016
0.5,32,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8589285714285715,0.7368421052631579,0:00:00.365056
0.5,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7410714285714286,0.7368421052631579,0:00:01.703266
0.5,32,0.01,16,50,1,SGD,relu,sum,0.8157894736842105,0.8813559322033898,0.9107142857142858,0.8314334222653408,0:00:01.713681
0.5,32,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8267857142857143,0.8146227638060668,0:00:01.868433
0.5,32,0.01,16,50,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8625,0.8486518019185895,0:00:01.831730
0.5,32,0.01,16,50,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714286,0.8399570354457572,0:00:01.827265
0.5,32,0.01,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8589285714285715,0.8229949874686716,0:00:01.828754
0.5,32,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7589285714285715,0.7368421052631579,0:00:03.468530
0.5,32,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9160714285714286,0.8486518019185895,0:00:03.356930
0.5,32,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142858,0.8146227638060668,0:00:03.713057
0.5,32,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8321428571428571,0.8671679197994987,0:00:03.839539
0.5,32,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8333333333333333,0.8267857142857143,0.7764920112781954,0:00:03.718514
0.5,32,0.01,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.888888888888889,0.8696428571428572,0.8,0:00:03.715042
0.5,32,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7696428571428571,0.7368421052631579,0:00:07.171172
0.5,32,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:06.749573
0.5,32,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8333333333333333,0.8160714285714286,0.7764920112781954,0:00:07.355189
0.5,32,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8142857142857143,0.8671679197994987,0:00:07.245572
0.5,32,0.01,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142857,0.8146227638060668,0:00:07.125045
0.5,32,0.01,16,200,1,rmsprop,relu,sum,0.7105263157894737,0.7755102040816326,0.8017857142857143,0.8507876834944504,0:00:07.196965
0.75,32,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6892857142857143,0.7368421052631579,0:00:00.501953
0.75,32,0.01,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8714285714285714,0.7368421052631579,0:00:00.386880
0.75,32,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:00.434993
0.75,32,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8910714285714285,0.8486518019185895,0:00:00.390353
0.75,32,0.01,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:00.384401
0.75,32,0.01,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8732142857142857,0.7368421052631579,0:00:00.359104
0.75,32,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6982142857142857,0.7368421052631579,0:00:02.197778
0.75,32,0.01,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:02.104529
