dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time

0.25,128,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8017857142857143,0.7368421052631579,0:00:01.059547
0.25,128,0.1,16,10,1,SGD,relu,sum,0.7631578947368421,0.18181818181818182,0.8732142857142857,0.9154135338345865,0:00:00.940487
0.25,128,0.1,16,10,1,adam,relu,mean,0.23684210526315788,0,0.4553571428571429,0.7368421052631579,0:00:00.747005
0.25,128,0.1,16,10,1,adam,relu,sum,0.868421052631579,0.28571428571428575,0.9053571428571429,0.9281203007518796,0:00:00.742015
0.25,128,0.1,16,10,1,RMSprop,relu,mean,0.23684210526315788,0,0.7535714285714286,0.7368421052631579,0:00:00.786897
0.25,128,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8178571428571428,0.7495300751879699,0:00:00.754011
0.25,128,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.18181818181818182,0.8178571428571428,0.7842333105491,0:00:03.494649
0.25,128,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9125,0.7368421052631579,0:00:03.375970
0.25,128,0.1,16,50,1,adam,relu,mean,0.7894736842105263,0.33333333333333337,0.5339285714285714,0.7777777777777778,0:00:04.035211
0.25,128,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.19999999999999998,0.9125,0.924812030075188,0:00:03.714069
0.25,128,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.7392857142857143,0.7368421052631579,0:00:03.396913
0.25,128,0.1,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.20000000000000004,0.8089285714285714,0.8399570354457572,0:00:03.582419
0.25,128,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.1818181818181818,0.8374999999999999,0.8146227638060668,0:00:06.700081
0.25,128,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9107142857142858,0.7368421052631579,0:00:06.215349
0.25,128,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.5714285714285714,0.7368421052631579,0:00:07.491957
0.25,128,0.1,16,100,1,adam,relu,sum,0.8157894736842105,0.3636363636363636,0.9089285714285713,0.8,0:00:07.123942
0.25,128,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.2857142857142857,0.4857142857142857,0.7368421052631579,0:00:06.636255
0.25,128,0.1,16,100,1,RMSprop,relu,sum,0.8157894736842105,0.3636363636363636,0.8160714285714286,0.8,0:00:07.039169
0.25,128,0.1,16,200,1,SGD,relu,mean,0.631578947368421,0.125,0.8446428571428571,0.8443374060150375,0:00:13.113920
0.25,128,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:12.358944
0.25,128,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.23392857142857143,0.7368421052631579,0:00:15.016820
0.25,128,0.1,16,200,1,adam,relu,sum,0.6842105263157895,0.14285714285714288,0.9017857142857142,0.8872180451127819,0:00:14.918647
0.25,128,0.1,16,200,1,RMSprop,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:13.240613
0.25,128,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.2857142857142857,0.8607142857142858,0.7368421052631579,0:00:13.502858
0.5,128,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.8053571428571429,0.7368421052631579,0:00:00.689159
0.5,128,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.9142857142857143,0.7368421052631579,0:00:00.678187
0.5,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.2857142857142857,0.7232142857142857,0.7368421052631579,0:00:00.712097
