dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.1,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.7339285714285714,0.7368421052631579,0:00:01.029243
0.25,128,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.782608695652174,0.9071428571428571,0.9060150375939849,0:00:00.735505
0.25,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6089285714285715,0.7368421052631579,0:00:00.807641
0.25,128,0.1,16,10,1,adam,relu,sum,0.2631578947368421,0,0.5392857142857143,0.7368421052631579,0:00:00.851975
0.25,128,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.46071428571428574,0.7368421052631579,0:00:00.762315
0.25,128,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.46071428571428574,0.7368421052631579,0:00:00.807370
0.25,128,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:03.372986
0.25,128,0.1,16,50,1,SGD,relu,sum,0.7631578947368421,0.8524590163934425,0.9053571428571429,0.7842333105491,0:00:03.354002
0.25,128,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.789643
0.25,128,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.910573
0.25,128,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.648918
0.25,128,0.1,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5392857142857143,0.7368421052631579,0:00:03.678639
0.25,128,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:06.729353
0.25,128,0.1,16,100,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.9035714285714286,0.8229949874686716,0:00:08.484156
0.25,128,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.727348
0.25,128,0.1,16,100,1,adam,relu,sum,0.2631578947368421,0,0.4857142857142857,0.7368421052631579,0:00:07.882944
0.25,128,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.121968
0.25,128,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.176793
0.25,128,0.1,16,200,1,SGD,relu,mean,0.2631578947368421,0,0.8089285714285714,0.7368421052631579,0:00:13.129910
0.25,128,0.1,16,200,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9035714285714286,0.9281203007518796,0:00:12.860626
0.25,128,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:15.405931
0.25,128,0.1,16,200,1,adam,relu,sum,0.2631578947368421,0,0.44642857142857145,0.7368421052631579,0:00:15.974305
0.25,128,0.1,16,200,1,rmsprop,relu,mean,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:14.045461
0.25,128,0.1,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.4660714285714286,0.7368421052631579,0:00:13.775186
0.5,128,0.1,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.6946428571428571,0.7368421052631579,0:00:00.714089
0.5,128,0.1,16,10,1,SGD,relu,sum,0.7894736842105263,0.8333333333333333,0.9071428571428573,0.924812030075188,0:00:00.690158
0.5,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7964285714285715,0.7368421052631579,0:00:00.754983
0.5,128,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.4375,0.7368421052631579,0:00:00.779914
0.5,128,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.46071428571428574,0.7368421052631579,0:00:01.110036
0.5,128,0.1,16,10,1,rmsprop,relu,sum,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:00.722068
0.5,128,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8071428571428572,0.7368421052631579,0:00:03.324121
0.5,128,0.1,16,50,1,SGD,relu,sum,0.7631578947368421,0.8524590163934425,0.905357142857143,0.7842333105491,0:00:03.258317
0.5,128,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.8321428571428572,0.8313143971038708,0:00:03.628300
0.5,128,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5535714285714286,0.7368421052631579,0:00:03.679168
0.5,128,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:05.772572
0.5,128,0.1,16,50,1,rmsprop,relu,sum,0.2631578947368421,0,0.45535714285714285,0.7368421052631579,0:00:03.499647
0.5,128,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:06.501621
0.5,128,0.1,16,100,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.9089285714285714,0.8229949874686716,0:00:06.454750
0.5,128,0.1,16,100,1,adam,relu,mean,0.7631578947368421,0.830188679245283,0.8196428571428571,0.8493233082706766,0:00:07.469039
0.5,128,0.1,16,100,1,adam,relu,sum,0.2631578947368421,0,0.5392857142857143,0.7368421052631579,0:00:07.729349
0.5,128,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5625,0.7368421052631579,0:00:11.836368
0.5,128,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.46071428571428574,0.7368421052631579,0:00:07.150885
0.5,128,0.1,16,200,1,SGD,relu,mean,0.2631578947368421,0,0.8017857142857143,0.7368421052631579,0:00:17.795424
