dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:01.618105
0.25,128,0.1,16,10,1,SGD,relu,sum,0.7631578947368421,0.8085106382978724,0.8732142857142857,0.9154135338345865,0:00:01.210761
0.25,128,0.1,16,10,1,adam,relu,mean,0.23684210526315788,0,0.4553571428571429,0.7368421052631579,0:00:01.237689
0.25,128,0.1,16,10,1,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9053571428571429,0.9281203007518796,0:00:01.469070
0.25,128,0.1,16,10,1,RMSprop,relu,mean,0.23684210526315788,0,0.7535714285714286,0.7368421052631579,0:00:01.851048
0.25,128,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.8437499999999999,0.8178571428571428,0.7495300751879699,0:00:01.663549
0.25,128,0.1,16,50,1,SGD,relu,mean,0.7631578947368421,0.8524590163934425,0.8178571428571428,0.7842333105491,0:00:05.885258
0.25,128,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:12.240259
0.25,128,0.1,16,50,1,adam,relu,mean,0.7894736842105263,0.8750000000000001,0.5339285714285714,0.7777777777777778,0:00:08.835365
0.25,128,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.8333333333333333,0.9125,0.924812030075188,0:00:05.839380
0.25,128,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:05.816446
0.25,128,0.1,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8089285714285714,0.8399570354457572,0:00:05.829405
0.25,128,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.8421052631578947,0.8374999999999999,0.8146227638060668,0:00:11.065435
0.25,128,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:10.188859
0.25,128,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5714285714285714,0.7368421052631579,0:00:10.384226
0.25,128,0.1,16,100,1,adam,relu,sum,0.8157894736842105,0.888888888888889,0.9089285714285713,0.8,0:00:09.710028
0.25,128,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.4857142857142857,0.7368421052631579,0:00:10.624345
0.25,128,0.1,16,100,1,RMSprop,relu,sum,0.8157894736842105,0.888888888888889,0.8160714285714286,0.8,0:00:13.437240
0.25,128,0.1,16,200,1,SGD,relu,mean,0.631578947368421,0.6818181818181819,0.8446428571428571,0.8443374060150375,0:00:18.952006
0.25,128,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:16.846932
0.25,128,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.23392857142857143,0.7368421052631579,0:00:25.304848
0.25,128,0.1,16,200,1,adam,relu,sum,0.6842105263157895,0.7272727272727273,0.9017857142857142,0.8872180451127819,0:00:35.713536
0.25,128,0.1,16,200,1,RMSprop,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:23.418362
0.25,128,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8607142857142858,0.7368421052631579,0:00:18.722017
0.5,128,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.321466
0.5,128,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:01.232703
0.5,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7232142857142857,0.7368421052631579,0:00:01.083100
0.5,128,0.1,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.9089285714285714,0.8399570354457572,0:00:00.951459
0.5,128,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.6,0.7368421052631579,0:00:00.784902
0.5,128,0.1,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:00.750991
