dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7821428571428571,0.7368421052631579,0:00:03.443362
0.25,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:00.333000
0.25,5,0.1,16,10,1,adam,relu,mean,0.8157894736842105,0.8679245283018868,0.8214285714285714,0.8872932330827068,0:00:00.529000
0.25,5,0.1,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8857142857142857,0.8399570354457572,0:00:00.400000
0.25,5,0.1,16,10,1,RMSprop,relu,mean,0.7631578947368421,0.8524590163934425,0.8214285714285714,0.7842333105491,0:00:00.377000
0.25,5,0.1,16,10,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.357998
0.25,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7964285714285715,0.7368421052631579,0:00:01.701002
0.25,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:02.169623
0.25,5,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.8474576271186439,0.7607142857142857,0.7989934513703613,0:00:01.975000
0.25,5,0.1,16,50,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8732142857142857,0.8070958646616541,0:00:01.944290
0.25,5,0.1,16,50,1,RMSprop,relu,mean,0.7894736842105263,0.8709677419354839,0.8071428571428572,0.7920720919946925,0:00:01.810317
0.25,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:01.748053
0.25,5,0.1,16,100,1,SGD,relu,mean,0.7894736842105263,0.8666666666666666,0.8196428571428571,0.8070958646616541,0:00:03.397265
0.25,5,0.1,16,100,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.8946428571428572,0.7701933404940924,0:00:03.209435
0.25,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.7392857142857142,0.7909774436090226,0:00:03.606510
0.25,5,0.1,16,100,1,adam,relu,sum,0.6578947368421053,0.7111111111111111,0.8089285714285714,0.8536045997346307,0:00:03.552000
0.25,5,0.1,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8474576271186439,0.8071428571428572,0.7989934513703613,0:00:03.563027
0.25,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571427,0.7368421052631579,0:00:03.359028
0.25,5,0.1,16,200,1,SGD,relu,mean,0.39473684210526316,0.30303030303030304,0.8446428571428571,0.7838345864661654,0:00:06.509077
0.25,5,0.1,16,200,1,SGD,relu,sum,0.34210526315789475,0.19354838709677416,0.8553571428571428,0.7650375939849624,0:00:06.369812
0.25,5,0.1,16,200,1,adam,relu,mean,0.7894736842105263,0.8518518518518519,0.7428571428571429,0.8582272990167727,0:00:07.831686
0.25,5,0.1,16,200,1,adam,relu,sum,0.7894736842105263,0.8750000000000001,0.9196428571428571,0.7777777777777778,0:00:08.064998
0.25,5,0.1,16,200,1,RMSprop,relu,mean,0.42105263157894735,0.3529411764705882,0.8125,0.7932330827067668,0:00:07.325001
0.25,5,0.1,16,200,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:07.860539
0.5,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.775,0.7368421052631579,0:00:00.467003
0.5,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.09107142857142857,0.7368421052631579,0:00:00.404000
0.5,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7,0.7368421052631579,0:00:00.460999
0.5,5,0.1,16,10,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8625,0.8399570354457572,0:00:00.440000
0.5,5,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.6107142857142858,0.7368421052631579,0:00:00.442001
0.5,5,0.1,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.8333333333333333,0.8767857142857143,0.924812030075188,0:00:00.436000
0.5,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:01.882000
0.5,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:01.867000
0.5,5,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.425,0.7368421052631579,0:00:02.103999
0.5,5,0.1,16,50,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8767857142857143,0.7701933404940924,0:00:02.043000
0.5,5,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.46607142857142864,0.7368421052631579,0:00:01.979998
0.5,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:01.999003
0.5,5,0.1,16,100,1,SGD,relu,mean,0.7631578947368421,0.8524590163934425,0.8196428571428571,0.7842333105491,0:00:04.495402
0.5,5,0.1,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:03.830999
0.5,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7607142857142858,0.7368421052631579,0:00:04.172000
0.5,5,0.1,16,100,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8875,0.7701933404940924,0:00:03.790002
0.5,5,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.4982142857142857,0.7368421052631579,0:00:03.385796
0.5,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:03.554112
0.5,5,0.1,16,200,1,SGD,relu,mean,0.39473684210526316,0.30303030303030304,0.8339285714285714,0.7838345864661654,0:00:07.464559
0.5,5,0.1,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.17678571428571427,0.7368421052631579,0:00:07.582999
0.5,5,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6607142857142857,0.7368421052631579,0:00:07.057867
0.5,5,0.1,16,200,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8946428571428572,0.7701933404940924,0:00:07.117000
0.5,5,0.1,16,200,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.09642857142857142,0.7368421052631579,0:00:07.561996
0.5,5,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714285,0.7368421052631579,0:00:07.498079
0.75,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:00.351999
0.75,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125000000000001,0.7368421052631579,0:00:00.334999
0.75,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:00.384004
0.75,5,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8946428571428571,0.7368421052631579,0:00:00.373999
0.75,5,0.1,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5660714285714286,0.7368421052631579,0:00:00.370997
0.75,5,0.1,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.8615384615384616,0.9303571428571429,0.7567567567567568,0:00:00.349002
0.75,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.613998
0.75,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9249999999999998,0.7368421052631579,0:00:01.596514
0.75,5,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7464285714285714,0.7368421052631579,0:00:01.793000
0.75,5,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.09464285714285714,0.7368421052631579,0:00:01.769513
0.75,5,0.1,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5660714285714286,0.7368421052631579,0:00:01.694425
0.75,5,0.1,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:01.676001
0.75,5,0.1,16,100,1,SGD,relu,mean,0.7894736842105263,0.8750000000000001,0.8142857142857143,0.7777777777777778,0:00:03.192000
0.75,5,0.1,16,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:03.443997
0.75,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.07142857142857142,0.7368421052631579,0:00:04.202999
0.75,5,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571427,0.7368421052631579,0:00:04.366138
0.75,5,0.1,16,100,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5660714285714286,0.7368421052631579,0:00:05.616901
0.75,5,0.1,16,100,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9125000000000001,0.7368421052631579,0:00:04.586772
0.75,5,0.1,16,200,1,SGD,relu,mean,0.3157894736842105,0.13333333333333333,0.8232142857142857,0.7556390977443609,0:00:07.387323
0.75,5,0.1,16,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:06.477123
0.75,5,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.933321
0.75,5,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.09464285714285715,0.7368421052631579,0:00:07.954564
0.75,5,0.1,16,200,1,RMSprop,relu,mean,0.2631578947368421,0,0,0.7368421052631579,0:00:07.429449
0.75,5,0.1,16,200,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:07.457348
0.25,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7571428571428571,0.7368421052631579,0:00:00.238511
0.25,5,0.1,32,10,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.244002
0.25,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8339285714285714,0.7368421052631579,0:00:00.268718
0.25,5,0.1,32,10,1,adam,relu,sum,0.8157894736842105,0.8679245283018868,0.8714285714285714,0.8872932330827068,0:00:00.271704
0.25,5,0.1,32,10,1,RMSprop,relu,mean,0.7631578947368421,0.8524590163934425,0.7982142857142858,0.7842333105491,0:00:00.260517
0.25,5,0.1,32,10,1,RMSprop,relu,sum,0.47368421052631576,0.4736842105263158,0.8071428571428572,0.7892857142857144,0:00:00.236000
0.25,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.118999
0.25,5,0.1,32,50,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:01.100026
0.25,5,0.1,32,50,1,adam,relu,mean,0.7894736842105263,0.8666666666666666,0.7839285714285714,0.8070958646616541,0:00:01.205025
0.25,5,0.1,32,50,1,adam,relu,sum,0.7368421052631579,0.7916666666666667,0.8125000000000001,0.881484962406015,0:00:01.179000
0.25,5,0.1,32,50,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8089285714285714,0.8399570354457572,0:00:01.164076
0.25,5,0.1,32,50,1,RMSprop,relu,sum,0.7631578947368421,0.8615384615384616,0.8178571428571428,0.7567567567567568,0:00:01.217034
0.25,5,0.1,32,100,1,SGD,relu,mean,0.7894736842105263,0.8750000000000001,0.8053571428571429,0.7777777777777778,0:00:02.234950
0.25,5,0.1,32,100,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:02.206545
0.25,5,0.1,32,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.7357142857142858,0.8399570354457572,0:00:02.395593
0.25,5,0.1,32,100,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8321428571428572,0.8486518019185895,0:00:02.388246
0.25,5,0.1,32,100,1,RMSprop,relu,mean,0.7631578947368421,0.8571428571428572,0.8142857142857143,0.7701933404940924,0:00:02.289123
0.25,5,0.1,32,100,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9232142857142857,0.7368421052631579,0:00:02.483687
0.25,5,0.1,32,200,1,SGD,relu,mean,0.7631578947368421,0.8363636363636364,0.8339285714285715,0.8313143971038708,0:00:04.381000
0.25,5,0.1,32,200,1,SGD,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:04.112000
0.25,5,0.1,32,200,1,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.7392857142857143,0.8313143971038708,0:00:04.885538
0.25,5,0.1,32,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:04.778068
0.25,5,0.1,32,200,1,RMSprop,relu,mean,0.7631578947368421,0.8235294117647057,0.8178571428571428,0.8689931350114416,0:00:04.593601
0.25,5,0.1,32,200,1,RMSprop,relu,sum,0.7631578947368421,0.8363636363636364,0.8607142857142858,0.8313143971038708,0:00:04.597031
0.5,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.75,0.7368421052631579,0:00:00.285511
0.5,5,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:00.280994
0.5,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8339285714285714,0.7368421052631579,0:00:00.335512
0.5,5,0.1,32,10,1,adam,relu,sum,0.8421052631578947,0.8846153846153847,0.9089285714285715,0.918781328320802,0:00:00.290002
0.5,5,0.1,32,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.6160714285714286,0.7368421052631579,0:00:00.247998
0.5,5,0.1,32,10,1,RMSprop,relu,sum,0.8157894736842105,0.8852459016393442,0.8982142857142857,0.8152768284347232,0:00:00.297025
0.5,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8071428571428573,0.7368421052631579,0:00:01.171510
0.5,5,0.1,32,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428572,0.7368421052631579,0:00:01.036001
0.5,5,0.1,32,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8160714285714286,0.8146227638060668,0:00:01.205003
0.5,5,0.1,32,50,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8214285714285715,0.8399570354457572,0:00:01.264998
0.5,5,0.1,32,50,1,RMSprop,relu,mean,0.7368421052631579,0.8333333333333333,0.825,0.7764920112781954,0:00:01.313575
0.5,5,0.1,32,50,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:01.138514
0.5,5,0.1,32,100,1,SGD,relu,mean,0.7631578947368421,0.8615384615384616,0.8017857142857143,0.7567567567567568,0:00:02.176037
0.5,5,0.1,32,100,1,SGD,relu,sum,0.7631578947368421,0.8615384615384616,0.9160714285714285,0.7567567567567568,0:00:02.151713
0.5,5,0.1,32,100,1,adam,relu,mean,0.7894736842105263,0.8518518518518519,0.7892857142857143,0.8582272990167727,0:00:02.400996
0.5,5,0.1,32,100,1,adam,relu,sum,0.8157894736842105,0.8813559322033898,0.8035714285714286,0.8314334222653408,0:00:02.323041
0.5,5,0.1,32,100,1,RMSprop,relu,mean,0.7894736842105263,0.8709677419354839,0.8160714285714286,0.7920720919946925,0:00:02.292406
0.5,5,0.1,32,100,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8875000000000001,0.7368421052631579,0:00:02.177040
0.5,5,0.1,32,200,1,SGD,relu,mean,0.7894736842105263,0.8518518518518519,0.8303571428571428,0.8582272990167727,0:00:04.925080
0.5,5,0.1,32,200,1,SGD,relu,sum,0.7368421052631579,0.7999999999999999,0.8696428571428572,0.859876965140123,0:00:04.584139
0.5,5,0.1,32,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.75,0.8146227638060668,0:00:05.512766
0.5,5,0.1,32,200,1,adam,relu,sum,0.23684210526315788,0,0.6857142857142857,0.7368421052631579,0:00:04.970614
0.5,5,0.1,32,200,1,RMSprop,relu,mean,0.7631578947368421,0.8235294117647057,0.8107142857142857,0.8689931350114416,0:00:04.464002
0.5,5,0.1,32,200,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285713,0.7368421052631579,0:00:05.044889
0.75,5,0.1,32,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7285714285714285,0.7368421052631579,0:00:00.262000
0.75,5,0.1,32,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8482142857142858,0.7368421052631579,0:00:00.241000
0.75,5,0.1,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8232142857142857,0.7368421052631579,0:00:00.258000
0.75,5,0.1,32,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8964285714285716,0.7368421052631579,0:00:00.283003
0.75,5,0.1,32,10,1,RMSprop,relu,mean,0.7894736842105263,0.8709677419354839,0.8053571428571429,0.7920720919946925,0:00:00.270998
0.75,5,0.1,32,10,1,RMSprop,relu,sum,0.2631578947368421,0,0,0.7368421052631579,0:00:00.256999
0.75,5,0.1,32,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.113000
