dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.1,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.7946428571428571,0.7368421052631579,0:00:01.586022
0.25,128,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.782608695652174,0.9071428571428573,0.9060150375939849,0:00:00.804672
0.25,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6124999999999999,0.7368421052631579,0:00:01.147267
0.25,128,0.1,16,10,1,adam,relu,sum,0.2631578947368421,0,0.5446428571428571,0.7368421052631579,0:00:00.857071
0.25,128,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.46071428571428574,0.7368421052631579,0:00:00.789991
0.25,128,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.4660714285714286,0.7368421052631579,0:00:00.809971
0.25,128,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8107142857142857,0.7368421052631579,0:00:03.420438
0.25,128,0.1,16,50,1,SGD,relu,sum,0.7631578947368421,0.8524590163934425,0.9053571428571429,0.7842333105491,0:00:03.548744
0.25,128,0.1,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.964870
0.25,128,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.811054
0.25,128,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:03.507958
0.25,128,0.1,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5446428571428571,0.7368421052631579,0:00:03.444656
0.25,128,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:06.540473
0.25,128,0.1,16,100,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.9035714285714286,0.8229949874686716,0:00:06.363419
0.25,128,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:07.363725
0.25,128,0.1,16,100,1,adam,relu,sum,0.2631578947368421,0,0.5339285714285714,0.7368421052631579,0:00:07.579728
0.25,128,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:06.961175
0.25,128,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5339285714285714,0.7368421052631579,0:00:06.826833
0.25,128,0.1,16,200,1,SGD,relu,mean,0.2631578947368421,0,0.8053571428571429,0.7368421052631579,0:00:13.120196
0.25,128,0.1,16,200,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9035714285714285,0.9281203007518796,0:00:12.647511
0.25,128,0.1,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:14.916489
0.25,128,0.1,16,200,1,adam,relu,sum,0.2631578947368421,0,0.44642857142857145,0.7368421052631579,0:00:15.559775
0.25,128,0.1,16,200,1,rmsprop,relu,mean,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:13.625041
0.25,128,0.1,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.4660714285714286,0.7368421052631579,0:00:13.516384
0.5,128,0.1,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.7732142857142859,0.7368421052631579,0:00:00.662403
0.5,128,0.1,16,10,1,SGD,relu,sum,0.7894736842105263,0.8333333333333333,0.9071428571428573,0.924812030075188,0:00:00.668723
0.5,128,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7964285714285715,0.7368421052631579,0:00:00.772387
0.5,128,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.45535714285714285,0.7368421052631579,0:00:00.722664
0.5,128,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.4660714285714286,0.7368421052631579,0:00:01.088592
0.5,128,0.1,16,10,1,rmsprop,relu,sum,0.2631578947368421,0,0.46071428571428574,0.7368421052631579,0:00:00.741619
0.5,128,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7839285714285715,0.7368421052631579,0:00:03.242444
0.5,128,0.1,16,50,1,SGD,relu,sum,0.7631578947368421,0.8524590163934425,0.905357142857143,0.7842333105491,0:00:03.236992
0.5,128,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.8321428571428572,0.8313143971038708,0:00:03.588735
0.5,128,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5625,0.7368421052631579,0:00:03.597222
0.5,128,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:07.653458
0.5,128,0.1,16,50,1,rmsprop,relu,sum,0.2631578947368421,0,0.45535714285714285,0.7368421052631579,0:00:12.153337
