dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7696428571428571,0.7368421052631579,0:00:00.429105
0.25,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714285,0.7368421052631579,0:00:00.413013
0.25,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8076923076923077,0.8267857142857142,0.8404605263157895,0:00:00.449945
0.25,5,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8714285714285714,0.7368421052631579,0:00:00.434022
0.25,5,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.65,0.7368421052631579,0:00:00.433615
0.25,5,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.415515
0.25,5,0.1,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7803571428571427,0.7368421052631579,0:00:01.977385
0.25,5,0.1,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:01.975308
0.25,5,0.1,16,50,1,adam,relu,mean,0.7631578947368421,0.8474576271186439,0.8267857142857143,0.7989934513703613,0:00:02.175106
0.25,5,0.1,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.035890
0.25,5,0.1,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.18035714285714283,0.7368421052631579,0:00:02.193644
0.25,5,0.1,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.443176
0.25,5,0.1,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7910714285714285,0.7368421052631579,0:00:04.084338
0.25,5,0.1,16,100,1,SGD,relu,sum,0.7894736842105263,0.8620689655172413,0.8732142857142858,0.8229949874686716,0:00:03.766474
0.25,5,0.1,16,100,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8232142857142857,0.7909774436090226,0:00:04.326739
0.25,5,0.1,16,100,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.153053
0.25,5,0.1,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.18035714285714285,0.7368421052631579,0:00:04.763002
0.25,5,0.1,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.809004
0.25,5,0.1,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:08.217999
0.25,5,0.1,16,200,1,SGD,relu,sum,0.5263157894736842,0.5263157894736842,0.8821428571428571,0.8308270676691729,0:00:09.585749
0.25,5,0.1,16,200,1,adam,relu,mean,0.7631578947368421,0.8524590163934425,0.8017857142857142,0.7842333105491,0:00:15.656474
0.25,5,0.1,16,200,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:18.023729
0.25,5,0.1,16,200,1,rmsprop,relu,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:11.743115
0.25,5,0.1,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:09.357830
0.5,5,0.1,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7053571428571429,0.7368421052631579,0:00:00.613029
0.5,5,0.1,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714285,0.7368421052631579,0:00:00.734147
0.5,5,0.1,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857142,0.7368421052631579,0:00:00.528999
0.5,5,0.1,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.490999
0.5,5,0.1,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.44107142857142856,0.7368421052631579,0:00:00.451024
0.5,5,0.1,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.487510
