dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7660714285714285,0.7368421052631579,0:00:00.427328
0.25,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.156218
0.25,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:00.168383
0.25,64,0.001,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.9160714285714285,0.8486518019185895,0:00:00.166186
0.25,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:00.160467
0.25,64,0.001,16,10,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9214285714285715,0.876141245972073,0:00:00.158916
0.25,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857143,0.7368421052631579,0:00:00.731577
0.25,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:00.721385
0.25,64,0.001,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8232142857142858,0.8146227638060668,0:00:00.792500
0.25,64,0.001,16,50,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9178571428571428,0.9056669451406293,0:00:00.779558
0.25,64,0.001,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8267857142857143,0.8146227638060668,0:00:00.765583
0.25,64,0.001,16,50,1,rmsprop,relu,sum,0.8421052631578947,0.888888888888889,0.9214285714285715,0.896471949103528,0:00:00.772541
0.25,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:01.452357
0.25,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571429,0.7368421052631579,0:00:01.430320
0.25,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:01.610548
0.25,64,0.001,16,100,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9178571428571429,0.8671679197994987,0:00:01.726644
0.25,64,0.001,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:01.686439
0.25,64,0.001,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.9142857142857143,0.8671679197994987,0:00:01.726028
0.25,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857143,0.7368421052631579,0:00:03.091228
0.25,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:03.210082
0.25,64,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714286,0.8146227638060668,0:00:03.361921
0.25,64,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.9035714285714286,0.8399570354457572,0:00:03.165048
0.25,64,0.001,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714286,0.8146227638060668,0:00:03.072288
0.25,64,0.001,16,200,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.9071428571428571,0.8146227638060668,0:00:03.035183
0.5,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7660714285714285,0.7368421052631579,0:00:00.155168
0.5,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:00.154047
0.5,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8232142857142857,0.7368421052631579,0:00:00.173136
0.5,64,0.001,16,10,1,adam,relu,sum,0.8421052631578947,0.896551724137931,0.9214285714285715,0.8573934837092732,0:00:00.166371
0.5,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714287,0.7368421052631579,0:00:00.161272
0.5,64,0.001,16,10,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9178571428571428,0.8486518019185895,0:00:00.158726
0.5,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857143,0.7368421052631579,0:00:00.735906
0.5,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.723600
0.5,64,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8437499999999999,0.8232142857142858,0.7495300751879699,0:00:00.797086
0.5,64,0.001,16,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9107142857142857,0.876141245972073,0:00:00.796914
0.5,64,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8437499999999999,0.8196428571428571,0.7495300751879699,0:00:00.770796
0.5,64,0.001,16,50,1,rmsprop,relu,sum,0.868421052631579,0.9090909090909091,0.9178571428571428,0.9056669451406293,0:00:00.762669
0.5,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142856,0.7368421052631579,0:00:01.465394
0.5,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:01.439347
0.5,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8339285714285715,0.8399570354457572,0:00:01.601700
0.5,64,0.001,16,100,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9214285714285715,0.9056669451406293,0:00:01.693171
0.5,64,0.001,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8267857142857143,0.8399570354457572,0:00:01.661533
0.5,64,0.001,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.9142857142857144,0.8671679197994987,0:00:01.601597
0.5,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.775,0.7368421052631579,0:00:02.976766
0.5,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:03.019529
0.5,64,0.001,16,200,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8500000000000001,0.8399570354457572,0:00:03.271500
0.5,64,0.001,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9107142857142857,0.8671679197994987,0:00:03.305296
0.5,64,0.001,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:03.130379
0.5,64,0.001,16,200,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.9160714285714285,0.8146227638060668,0:00:03.217259
0.75,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857144,0.7368421052631579,0:00:00.160287
0.75,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428573,0.7368421052631579,0:00:00.156474
0.75,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8267857142857143,0.7368421052631579,0:00:00.167903
0.75,64,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571429,0.7368421052631579,0:00:00.169054
0.75,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:00.163836
0.75,64,0.001,16,10,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9249999999999999,0.8486518019185895,0:00:00.160144
0.75,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857144,0.7368421052631579,0:00:00.743154
0.75,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:00.734371
0.75,64,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8125000000000001,0.7368421052631579,0:00:00.801494
0.75,64,0.001,16,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9160714285714285,0.876141245972073,0:00:00.810291
0.75,64,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8107142857142858,0.7368421052631579,0:00:00.766207
0.75,64,0.001,16,50,1,rmsprop,relu,sum,0.868421052631579,0.9090909090909091,0.9142857142857143,0.9056669451406293,0:00:00.760914
0.75,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7803571428571427,0.7368421052631579,0:00:01.470054
0.75,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:01.448837
0.75,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.8196428571428571,0.8229949874686716,0:00:01.590112
0.75,64,0.001,16,100,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:01.576768
0.75,64,0.001,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8666666666666666,0.8196428571428571,0.8070958646616541,0:00:01.533158
0.75,64,0.001,16,100,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9214285714285714,0.876141245972073,0:00:01.509995
0.75,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7839285714285715,0.7368421052631579,0:00:02.920717
0.75,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714286,0.7368421052631579,0:00:02.890060
0.75,64,0.001,16,200,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8375,0.8399570354457572,0:00:03.179483
0.75,64,0.001,16,200,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9125000000000001,0.876141245972073,0:00:03.134156
0.75,64,0.001,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8267857142857143,0.8399570354457572,0:00:03.042326
0.75,64,0.001,16,200,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9178571428571429,0.8486518019185895,0:00:03.008408
0.25,64,0.001,32,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7660714285714286,0.7368421052631579,0:00:00.118398
0.25,64,0.001,32,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9017857142857143,0.7368421052631579,0:00:00.117272
0.25,64,0.001,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8250000000000001,0.7368421052631579,0:00:00.127372
0.25,64,0.001,32,10,1,adam,relu,sum,0.8157894736842105,0.888888888888889,0.9178571428571429,0.8,0:00:00.127964
0.25,64,0.001,32,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8232142857142857,0.7368421052631579,0:00:00.124590
0.25,64,0.001,32,10,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9107142857142857,0.876141245972073,0:00:00.123821
0.25,64,0.001,32,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142857,0.7368421052631579,0:00:00.564455
0.25,64,0.001,32,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:00.553836
0.25,64,0.001,32,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.817857142857143,0.7368421052631579,0:00:00.589752
0.25,64,0.001,32,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:00.582491
0.25,64,0.001,32,50,1,rmsprop,relu,mean,0.7631578947368421,0.8474576271186439,0.8232142857142858,0.7989934513703613,0:00:00.597462
