dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.001,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.2696428571428571,0.7368421052631579,0:00:00.342308
0.25,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.6517857142857143,0.7368421052631579,0:00:00.255879
0.25,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7017857142857142,0.7368421052631579,0:00:00.176958
0.25,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.162100
0.25,5,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7767857142857143,0.7368421052631579,0:00:00.162667
0.25,5,0.001,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.172871
0.25,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.3196428571428571,0.7368421052631579,0:00:00.674696
0.25,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714285,0.7368421052631579,0:00:00.635125
0.25,5,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7982142857142858,0.7368421052631579,0:00:00.714995
0.25,5,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8839285714285714,0.7701933404940924,0:00:00.705839
0.25,5,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:00.682540
0.25,5,0.001,16,50,1,rmsprop,relu,sum,0.7894736842105263,0.8666666666666666,0.8892857142857142,0.8070958646616541,0:00:00.684155
0.25,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.4125,0.7368421052631579,0:00:01.291062
0.25,5,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:01.409789
0.25,5,0.001,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:01.556094
0.25,5,0.001,16,100,1,adam,relu,sum,0.8157894736842105,0.8813559322033898,0.8910714285714286,0.8314334222653408,0:00:01.421135
0.25,5,0.001,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:01.363380
0.25,5,0.001,16,100,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8928571428571429,0.8146227638060668,0:00:01.346134
0.25,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6303571428571428,0.7368421052631579,0:00:02.592325
0.25,5,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285715,0.7368421052631579,0:00:02.603095
0.25,5,0.001,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8071428571428572,0.7368421052631579,0:00:02.831756
0.25,5,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.9,0.8399570354457572,0:00:02.796382
0.25,5,0.001,16,200,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8142857142857143,0.7368421052631579,0:00:02.725974
0.25,5,0.001,16,200,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8892857142857143,0.8399570354457572,0:00:02.677978
0.5,5,0.001,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.2696428571428571,0.7368421052631579,0:00:00.141314
0.5,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.7125,0.7368421052631579,0:00:00.139634
0.5,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6303571428571428,0.7368421052631579,0:00:00.151191
0.5,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:00.149693
0.5,5,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142857,0.7368421052631579,0:00:00.161663
0.5,5,0.001,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:00.145470
0.5,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.3196428571428571,0.7368421052631579,0:00:00.656485
0.5,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571428,0.7368421052631579,0:00:00.651351
0.5,5,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428572,0.7368421052631579,0:00:00.824806
0.5,5,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8857142857142857,0.7701933404940924,0:00:00.715434
0.5,5,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7910714285714285,0.7368421052631579,0:00:00.692744
0.5,5,0.001,16,50,1,rmsprop,relu,sum,0.7631578947368421,0.8571428571428572,0.8964285714285715,0.7701933404940924,0:00:00.710809
0.5,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.4232142857142857,0.7368421052631579,0:00:01.320371
0.5,5,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:01.278045
0.5,5,0.001,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:01.409650
0.5,5,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8910714285714286,0.8070958646616541,0:00:01.394960
0.5,5,0.001,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:01.359068
0.5,5,0.001,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8813559322033898,0.8928571428571429,0.8314334222653408,0:00:01.349727
0.5,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6410714285714286,0.7368421052631579,0:00:02.588877
0.5,5,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:02.545951
0.5,5,0.001,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8125000000000001,0.7368421052631579,0:00:02.831559
0.5,5,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8821428571428572,0.8399570354457572,0:00:03.011801
0.5,5,0.001,16,200,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:02.775964
0.5,5,0.001,16,200,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8892857142857142,0.8399570354457572,0:00:02.681022
0.75,5,0.001,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.2696428571428571,0.7368421052631579,0:00:00.141326
0.75,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8571428571428571,0.7368421052631579,0:00:00.137984
0.75,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.29821428571428565,0.7368421052631579,0:00:00.152352
0.75,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:00.150440
0.75,5,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5696428571428571,0.7368421052631579,0:00:00.147793
0.75,5,0.001,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:00.145091
0.75,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.32678571428571423,0.7368421052631579,0:00:00.715539
0.75,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9017857142857143,0.7368421052631579,0:00:00.696097
0.75,5,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428571,0.7368421052631579,0:00:00.722487
0.75,5,0.001,16,50,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8982142857142857,0.7368421052631579,0:00:00.713437
0.75,5,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7982142857142858,0.7368421052631579,0:00:00.696133
0.75,5,0.001,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:00.681768
0.75,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.5160714285714285,0.7368421052631579,0:00:01.304195
0.75,5,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:01.297265
0.75,5,0.001,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428572,0.7368421052631579,0:00:01.431025
0.75,5,0.001,16,100,1,adam,relu,sum,0.7631578947368421,0.8615384615384616,0.8803571428571428,0.7567567567567568,0:00:01.398519
0.75,5,0.001,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8196428571428571,0.7368421052631579,0:00:01.360748
0.75,5,0.001,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8437499999999999,0.8892857142857142,0.7495300751879699,0:00:01.369627
0.75,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7089285714285715,0.7368421052631579,0:00:02.638972
0.75,5,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:02.685498
0.75,5,0.001,16,200,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.825,0.7368421052631579,0:00:02.834833
0.75,5,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8964285714285715,0.8070958646616541,0:00:02.885169
0.75,5,0.001,16,200,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571428,0.7368421052631579,0:00:02.748943
0.75,5,0.001,16,200,1,rmsprop,relu,sum,0.8157894736842105,0.8813559322033898,0.8964285714285715,0.8314334222653408,0:00:02.713765
0.25,5,0.001,32,10,1,SGD,relu,mean,0.2631578947368421,0,0.24821428571428567,0.7368421052631579,0:00:00.092183
0.25,5,0.001,32,10,1,SGD,relu,sum,0.6842105263157895,0.8125,0.4178571428571428,0.7232664995822891,0:00:00.092131
0.25,5,0.001,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.35892857142857143,0.7368421052631579,0:00:00.104887
0.25,5,0.001,32,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8946428571428572,0.7368421052631579,0:00:00.109544
0.25,5,0.001,32,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7732142857142857,0.7368421052631579,0:00:00.105119
