dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.43214285714285716,0.7368421052631579,0:00:02.339068
0.25,128,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.8821428571428572,0.7368421052631579,0:00:00.428580
0.25,128,0.001,16,10,1,adam,relu,mean,0.7631578947368421,0.30769230769230765,0.8232142857142858,0.7567567567567568,0:00:00.476313
0.25,128,0.001,16,10,1,adam,relu,sum,0.7894736842105263,0.20000000000000004,0.8875,0.8399570354457572,0:00:00.459834
0.25,128,0.001,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.2,0.8178571428571428,0.8582272990167727,0:00:00.451727
0.25,128,0.001,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.2,0.8357142857142856,0.8781328320802004,0:00:00.443972
0.25,128,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7517857142857144,0.7368421052631579,0:00:02.073907
0.25,128,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.2857142857142857,0.8714285714285716,0.7368421052631579,0:00:02.041860
0.25,128,0.001,16,50,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8357142857142856,0.8146227638060668,0:00:02.192883
0.25,128,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.1818181818181818,0.8803571428571428,0.8146227638060668,0:00:02.150014
0.25,128,0.001,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8410714285714285,0.8146227638060668,0:00:02.111344
0.25,128,0.001,16,50,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.8821428571428571,0.8146227638060668,0:00:02.079880
0.25,128,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.2857142857142857,0.7875,0.7368421052631579,0:00:04.131316
0.25,128,0.001,16,100,1,SGD,relu,sum,0.7894736842105263,0.2,0.8678571428571429,0.8070958646616541,0:00:04.022695
0.25,128,0.001,16,100,1,adam,relu,mean,0.7631578947368421,0.1818181818181818,0.8196428571428571,0.8146227638060668,0:00:04.427345
0.25,128,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.2,0.8553571428571428,0.8229949874686716,0:00:04.574484
0.25,128,0.001,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.1818181818181818,0.8214285714285714,0.8146227638060668,0:00:04.932443
0.25,128,0.001,16,100,1,RMSprop,relu,sum,0.7631578947368421,0.1818181818181818,0.8571428571428572,0.8146227638060668,0:00:04.478767
