dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.27678571428571425,0.7368421052631579,0:00:01.969221
0.25,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8446428571428571,0.7368421052631579,0:00:00.444641
0.25,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7517857142857143,0.7368421052631579,0:00:00.481798
0.25,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8767857142857143,0.7368421052631579,0:00:00.463704
0.25,5,0.001,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:00.459055
0.25,5,0.001,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8910714285714286,0.7368421052631579,0:00:00.447988
0.25,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.30357142857142855,0.7368421052631579,0:00:02.126155
0.25,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8678571428571429,0.7368421052631579,0:00:02.077463
0.25,5,0.001,16,50,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8142857142857143,0.7567567567567568,0:00:02.307391
0.25,5,0.001,16,50,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.867857142857143,0.8070958646616541,0:00:02.270467
0.25,5,0.001,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8615384615384616,0.8071428571428572,0.7567567567567568,0:00:02.221203
0.25,5,0.001,16,50,1,RMSprop,relu,sum,0.7894736842105263,0.8666666666666666,0.8821428571428572,0.8070958646616541,0:00:02.150022
0.25,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.41785714285714287,0.7368421052631579,0:00:04.266402
0.25,5,0.001,16,100,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.8696428571428572,0.7701933404940924,0:00:04.196425
0.25,5,0.001,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8214285714285714,0.8146227638060668,0:00:04.511589
0.25,5,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8821428571428572,0.8070958646616541,0:00:04.525079
0.25,5,0.001,16,100,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8107142857142857,0.8146227638060668,0:00:04.708474
0.25,5,0.001,16,100,1,RMSprop,relu,sum,0.8157894736842105,0.8727272727272727,0.8767857142857144,0.8671679197994987,0:00:04.673411
0.25,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6464285714285715,0.7368421052631579,0:00:08.703334
0.25,5,0.001,16,200,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.8785714285714286,0.7701933404940924,0:00:08.333051
0.25,5,0.001,16,200,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8142857142857143,0.8399570354457572,0:00:08.944038
0.25,5,0.001,16,200,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8946428571428572,0.8486518019185895,0:00:08.804239
0.25,5,0.001,16,200,1,RMSprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8142857142857143,0.8399570354457572,0:00:08.670061
0.25,5,0.001,16,200,1,RMSprop,relu,sum,0.8157894736842105,0.8771929824561403,0.8892857142857142,0.8486518019185895,0:00:08.464205
0.5,5,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2785714285714285,0.7368421052631579,0:00:00.485025
0.5,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8285714285714286,0.7368421052631579,0:00:00.440896
0.5,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7499999999999999,0.7368421052631579,0:00:00.470644
0.5,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.8714285714285714,0.7368421052631579,0:00:00.460867
0.5,5,0.001,16,10,1,RMSprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7785714285714286,0.7368421052631579,0:00:00.459468
0.5,5,0.001,16,10,1,RMSprop,relu,sum,0.7368421052631579,0.8484848484848484,0.8928571428571429,0.7368421052631579,0:00:00.454710
0.5,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.30357142857142855,0.7368421052631579,0:00:02.204218
0.5,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8767857142857143,0.7368421052631579,0:00:02.109789
