dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,5,0.001,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.2767857142857143,0.7368421052631579,0:00:01.304604
0.25,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.619642857142857,0.7368421052631579,0:00:00.518726
0.25,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7321428571428571,0.7368421052631579,0:00:00.488333
0.25,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9125000000000001,0.7368421052631579,0:00:00.468879
0.25,5,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7875,0.7368421052631579,0:00:00.456118
0.25,5,0.001,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142858,0.7368421052631579,0:00:00.446329
0.25,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.3767857142857143,0.7368421052631579,0:00:02.128375
0.25,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9160714285714285,0.7368421052631579,0:00:02.091714
0.25,5,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428572,0.7368421052631579,0:00:02.247337
0.25,5,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8732142857142857,0.7701933404940924,0:00:02.228247
0.25,5,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857142,0.7368421052631579,0:00:02.172578
0.25,5,0.001,16,50,1,rmsprop,relu,sum,0.8157894736842105,0.8813559322033898,0.8964285714285716,0.8314334222653408,0:00:02.134069
0.25,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6053571428571429,0.7368421052631579,0:00:04.240923
0.25,5,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428571,0.7368421052631579,0:00:04.143163
0.25,5,0.001,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.825,0.7368421052631579,0:00:04.452246
0.25,5,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8857142857142858,0.8229949874686716,0:00:04.400716
0.25,5,0.001,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:04.323643
0.25,5,0.001,16,100,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8875000000000001,0.8146227638060668,0:00:04.222857
0.25,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7089285714285715,0.7368421052631579,0:00:08.425836
0.25,5,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9071428571428573,0.7368421052631579,0:00:08.257456
0.25,5,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8196428571428571,0.7567567567567568,0:00:08.900609
0.25,5,0.001,16,200,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8892857142857143,0.8399570354457572,0:00:08.785608
0.25,5,0.001,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8615384615384616,0.8178571428571428,0.7567567567567568,0:00:08.649934
0.25,5,0.001,16,200,1,rmsprop,relu,sum,0.7894736842105263,0.8571428571428571,0.8928571428571428,0.8399570354457572,0:00:08.425089
0.5,5,0.001,16,10,1,SGD,relu,mean,0.2631578947368421,0,0.2767857142857143,0.7368421052631579,0:00:00.450661
0.5,5,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.7017857142857142,0.7368421052631579,0:00:00.440653
0.5,5,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.6910714285714286,0.7368421052631579,0:00:00.473352
0.5,5,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:00.469962
0.5,5,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7785714285714286,0.7368421052631579,0:00:00.470767
0.5,5,0.001,16,10,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.9053571428571429,0.7368421052631579,0:00:00.457067
0.5,5,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.37857142857142856,0.7368421052631579,0:00:02.129613
0.5,5,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:02.081644
0.5,5,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428572,0.7368421052631579,0:00:02.272117
0.5,5,0.001,16,50,1,adam,relu,sum,0.7631578947368421,0.8571428571428572,0.8732142857142857,0.7701933404940924,0:00:02.193214
0.5,5,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.7910714285714286,0.7368421052631579,0:00:02.176167
0.5,5,0.001,16,50,1,rmsprop,relu,sum,0.7631578947368421,0.8571428571428572,0.8892857142857142,0.7701933404940924,0:00:02.130765
0.5,5,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6214285714285714,0.7368421052631579,0:00:04.242034
0.5,5,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:04.159607
0.5,5,0.001,16,100,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8125000000000001,0.7368421052631579,0:00:04.480395
0.5,5,0.001,16,100,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8785714285714286,0.8070958646616541,0:00:04.388386
0.5,5,0.001,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285714,0.7368421052631579,0:00:04.350379
0.5,5,0.001,16,100,1,rmsprop,relu,sum,0.7894736842105263,0.8620689655172413,0.8839285714285715,0.8229949874686716,0:00:04.216350
0.5,5,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7125,0.7368421052631579,0:00:08.453717
