dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7875,0.7368421052631579,0:00:01.408353
0.25,128,0.01,16,10,1,SGD,relu,sum,0.7894736842105263,0.8518518518518519,0.7928571428571428,0.8582272990167727,0:00:00.818877
0.25,128,0.01,16,10,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8428571428571429,0.8146227638060668,0:00:00.973687
0.25,128,0.01,16,10,1,adam,relu,sum,0.7631578947368421,0.8524590163934425,0.8839285714285715,0.7842333105491,0:00:01.009691
0.25,128,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.846153846153846,0.8321428571428572,0.8781328320802004,0:00:01.066544
0.25,128,0.01,16,10,1,RMSprop,relu,sum,0.7894736842105263,0.8518518518518519,0.8142857142857143,0.8582272990167727,0:00:00.950759
0.25,128,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7946428571428572,0.7368421052631579,0:00:04.180155
0.25,128,0.01,16,50,1,SGD,relu,sum,0.7631578947368421,0.8571428571428572,0.9089285714285714,0.7701933404940924,0:00:03.540028
0.25,128,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7482142857142857,0.8146227638060668,0:00:04.088473
0.25,128,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8589285714285715,0.8229949874686716,0:00:04.017387
0.25,128,0.01,16,50,1,RMSprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8339285714285715,0.8146227638060668,0:00:03.821423
0.25,128,0.01,16,50,1,RMSprop,relu,sum,0.7631578947368421,0.8524590163934425,0.9160714285714285,0.7842333105491,0:00:04.054479
0.25,128,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:06.530333
0.25,128,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8813559322033898,0.8982142857142857,0.8314334222653408,0:00:05.248966
0.25,128,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.755357142857143,0.8146227638060668,0:00:05.988342
0.25,128,0.01,16,100,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8267857142857142,0.8486518019185895,0:00:06.019269
0.25,128,0.01,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.8666666666666666,0.7625,0.8070958646616541,0:00:05.451211
0.25,128,0.01,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.8750000000000001,0.8982142857142857,0.7777777777777778,0:00:05.490245
0.25,128,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:10.837433
0.25,128,0.01,16,200,1,SGD,relu,sum,0.7894736842105263,0.84,0.8892857142857143,0.9001196172248804,0:00:10.105954
0.25,128,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8214285714285715,0.7375,0.8063238453276047,0:00:12.329994
0.25,128,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8232142857142857,0.8486518019185895,0:00:12.630410
0.25,128,0.01,16,200,1,RMSprop,relu,mean,0.631578947368421,0.6956521739130435,0.7517857142857143,0.8237259816207184,0:00:10.985765
0.25,128,0.01,16,200,1,RMSprop,relu,sum,0.23684210526315788,0,0.7125,0.7368421052631579,0:00:10.927817
0.5,128,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7857142857142857,0.7368421052631579,0:00:00.519296
0.5,128,0.01,16,10,1,SGD,relu,sum,0.7631578947368421,0.8363636363636364,0.8196428571428571,0.8313143971038708,0:00:00.525543
0.5,128,0.01,16,10,1,adam,relu,mean,0.7368421052631579,0.8333333333333333,0.8464285714285714,0.7764920112781954,0:00:00.658814
0.5,128,0.01,16,10,1,adam,relu,sum,0.7631578947368421,0.8524590163934425,0.8910714285714286,0.7842333105491,0:00:00.608269
0.5,128,0.01,16,10,1,RMSprop,relu,mean,0.7894736842105263,0.8518518518518519,0.8321428571428572,0.8582272990167727,0:00:00.561898
0.5,128,0.01,16,10,1,RMSprop,relu,sum,0.7631578947368421,0.8421052631578947,0.8767857142857143,0.8146227638060668,0:00:00.581216
0.5,128,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7928571428571429,0.7368421052631579,0:00:02.609942
0.5,128,0.01,16,50,1,SGD,relu,sum,0.7894736842105263,0.8709677419354839,0.9071428571428571,0.7920720919946925,0:00:02.494591
0.5,128,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7428571428571428,0.8146227638060668,0:00:02.931173
0.5,128,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8620689655172413,0.8267857142857143,0.8229949874686716,0:00:02.875665
0.5,128,0.01,16,50,1,RMSprop,relu,mean,0.7368421052631579,0.8333333333333333,0.7946428571428572,0.7764920112781954,0:00:02.699682
0.5,128,0.01,16,50,1,RMSprop,relu,sum,0.7368421052631579,0.8437499999999999,0.8875000000000001,0.7495300751879699,0:00:02.688032
0.5,128,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8017857142857143,0.7368421052631579,0:00:05.006469
0.5,128,0.01,16,100,1,SGD,relu,sum,0.8157894736842105,0.8771929824561403,0.9017857142857143,0.8486518019185895,0:00:04.902131
0.5,128,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7464285714285713,0.8146227638060668,0:00:05.889070
0.5,128,0.01,16,100,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.8232142857142857,0.876141245972073,0:00:06.153200
0.5,128,0.01,16,100,1,RMSprop,relu,mean,0.7894736842105263,0.8666666666666666,0.7607142857142857,0.8070958646616541,0:00:05.457444
0.5,128,0.01,16,100,1,RMSprop,relu,sum,0.7894736842105263,0.8666666666666666,0.8142857142857143,0.8070958646616541,0:00:05.297484
0.5,128,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8053571428571429,0.7368421052631579,0:00:10.642930
0.5,128,0.01,16,200,1,SGD,relu,sum,0.8421052631578947,0.888888888888889,0.8946428571428572,0.896471949103528,0:00:15.239254
0.5,128,0.01,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.75,0.8146227638060668,0:00:12.660667
0.5,128,0.01,16,200,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.8267857142857142,0.8486518019185895,0:00:12.435567
0.5,128,0.01,16,200,1,RMSprop,relu,mean,0.7631578947368421,0.8235294117647057,0.7625,0.8689931350114416,0:00:11.208031
