dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,128,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.22678571428571428,0.7368421052631579,0:00:00.628960
0.25,128,0.01,16,10,1,SGD,relu,sum,0.7894736842105263,0.8709677419354839,0.9107142857142857,0.7920720919946925,0:00:00.503547
0.25,128,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8428571428571429,0.8399570354457572,0:00:00.674767
0.25,128,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9071428571428571,0.8671679197994987,0:00:00.581605
0.25,128,0.01,16,10,1,rmsprop,relu,mean,0.7631578947368421,0.8235294117647057,0.8357142857142857,0.8689931350114416,0:00:00.540284
0.25,128,0.01,16,10,1,rmsprop,relu,sum,0.2631578947368421,0,0.5999999999999999,0.7368421052631579,0:00:00.537721
0.25,128,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6482142857142856,0.7368421052631579,0:00:02.665374
0.25,128,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857144,0.876141245972073,0:00:02.402655
0.25,128,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8446428571428571,0.8146227638060668,0:00:02.848734
0.25,128,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8392857142857143,0.8070958646616541,0:00:02.702900
0.25,128,0.01,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8275862068965516,0.8214285714285714,0.7909774436090226,0:00:02.690383
0.25,128,0.01,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.2017857142857143,0.7368421052631579,0:00:02.676222
0.25,128,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8142857142857143,0.7368421052631579,0:00:04.955992
0.25,128,0.01,16,100,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9196428571428572,0.9281203007518796,0:00:04.920672
0.25,128,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8107142857142857,0.8146227638060668,0:00:05.683504
0.25,128,0.01,16,100,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:05.645737
0.25,128,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8387096774193549,0.8267857142857142,0.7627156125608138,0:00:05.402752
0.25,128,0.01,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.23749999999999996,0.7368421052631579,0:00:05.191930
0.25,128,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:09.843985
0.25,128,0.01,16,200,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9178571428571429,0.9281203007518796,0:00:10.869274
0.25,128,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8076923076923077,0.7553571428571428,0.8404605263157895,0:00:12.280627
0.25,128,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.896551724137931,0.8392857142857142,0.8573934837092732,0:00:12.697500
0.25,128,0.01,16,200,1,rmsprop,relu,mean,0.8421052631578947,0.8846153846153847,0.8642857142857143,0.918781328320802,0:00:10.913663
0.25,128,0.01,16,200,1,rmsprop,relu,sum,0.2631578947368421,0,0.7892857142857144,0.7368421052631579,0:00:10.541182
0.5,128,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:00.506879
