dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time

0.25,128,0.01,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.29464285714285715,0.7368421052631579,0:00:00.759821
0.25,128,0.01,16,10,1,SGD,relu,sum,0.7894736842105263,0.8709677419354839,0.9107142857142858,0.7920720919946925,0:00:00.572778
0.25,128,0.01,16,10,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8428571428571429,0.8399570354457572,0:00:00.668156
0.25,128,0.01,16,10,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9089285714285714,0.8671679197994987,0:00:00.590383
0.25,128,0.01,16,10,1,rmsprop,relu,mean,0.7631578947368421,0.8235294117647057,0.8321428571428572,0.8689931350114416,0:00:00.644699
0.25,128,0.01,16,10,1,rmsprop,relu,sum,0.2631578947368421,0,0.6142857142857143,0.7368421052631579,0:00:00.657547
0.25,128,0.01,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.4446428571428572,0.7368421052631579,0:00:02.658836
0.25,128,0.01,16,50,1,SGD,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:02.533141
0.25,128,0.01,16,50,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8446428571428571,0.8146227638060668,0:00:02.954823
0.25,128,0.01,16,50,1,adam,relu,sum,0.7894736842105263,0.8666666666666666,0.8392857142857143,0.8070958646616541,0:00:03.056702
0.25,128,0.01,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8275862068965516,0.8214285714285714,0.7909774436090226,0:00:02.804536
0.25,128,0.01,16,50,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.20357142857142857,0.7368421052631579,0:00:02.770939
0.25,128,0.01,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.75,0.7368421052631579,0:00:06.244838
0.25,128,0.01,16,100,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9160714285714286,0.9281203007518796,0:00:05.525553
0.25,128,0.01,16,100,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8125,0.8146227638060668,0:00:06.912232
0.25,128,0.01,16,100,1,adam,relu,sum,0.7894736842105263,0.8571428571428571,0.8285714285714285,0.8399570354457572,0:00:05.942844
0.25,128,0.01,16,100,1,rmsprop,relu,mean,0.7368421052631579,0.8387096774193549,0.8267857142857142,0.7627156125608138,0:00:05.482364
0.25,128,0.01,16,100,1,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.24285714285714285,0.7368421052631579,0:00:05.128911
0.25,128,0.01,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.7875000000000001,0.7368421052631579,0:00:09.887905
0.25,128,0.01,16,200,1,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9178571428571428,0.9281203007518796,0:00:09.423860
0.25,128,0.01,16,200,1,adam,relu,mean,0.7368421052631579,0.8076923076923077,0.7482142857142857,0.8404605263157895,0:00:11.270528
0.25,128,0.01,16,200,1,adam,relu,sum,0.8421052631578947,0.896551724137931,0.8214285714285714,0.8573934837092732,0:00:11.274711
