dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time
0.25,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.1839285714285714,0.7368421052631579,0:00:03.891513
0.25,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8357142857142856,0.7368421052631579,0:00:00.546455
0.25,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:00.593652
0.25,64,0.001,16,10,1,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.9142857142857143,0.8486518019185895,0:00:00.585516
0.25,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:00.559379
0.25,64,0.001,16,10,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:00.561569
0.25,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:02.809068
0.25,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:02.860898
0.25,64,0.001,16,50,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.8232142857142858,0.8229949874686716,0:00:03.334504
0.25,64,0.001,16,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:03.192086
0.25,64,0.001,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8285714285714286,0.8146227638060668,0:00:02.814650
0.25,64,0.001,16,50,1,rmsprop,relu,sum,0.8421052631578947,0.888888888888889,0.9142857142857143,0.896471949103528,0:00:02.733117
0.25,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:05.576532
0.25,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857144,0.7368421052631579,0:00:05.789291
0.25,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:05.840436
0.25,64,0.001,16,100,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.9142857142857144,0.896471949103528,0:00:05.964698
0.25,64,0.001,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:05.732330
0.25,64,0.001,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.9142857142857144,0.8671679197994987,0:00:05.503487
0.25,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.1875,0.7368421052631579,0:00:10.774217
0.25,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:10.736360
0.25,64,0.001,16,200,1,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.8410714285714286,0.8146227638060668,0:00:11.187024
0.25,64,0.001,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9035714285714286,0.8671679197994987,0:00:10.842023
0.25,64,0.001,16,200,1,rmsprop,relu,mean,0.7631578947368421,0.8421052631578947,0.8428571428571429,0.8146227638060668,0:00:11.303856
0.25,64,0.001,16,200,1,rmsprop,relu,sum,0.7631578947368421,0.8421052631578947,0.9,0.8146227638060668,0:00:11.038191
0.5,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18571428571428572,0.7368421052631579,0:00:00.850718
0.5,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8339285714285714,0.7368421052631579,0:00:00.694541
0.5,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8285714285714286,0.7368421052631579,0:00:00.842531
0.5,64,0.001,16,10,1,adam,relu,sum,0.8421052631578947,0.896551724137931,0.9178571428571429,0.8573934837092732,0:00:00.831340
0.5,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8232142857142857,0.7368421052631579,0:00:00.828944
0.5,64,0.001,16,10,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571428,0.876141245972073,0:00:00.716032
0.5,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.1857142857142857,0.7368421052631579,0:00:03.402929
0.5,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9125,0.7368421052631579,0:00:02.835204
0.5,64,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8437499999999999,0.8214285714285714,0.7495300751879699,0:00:03.267334
0.5,64,0.001,16,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9160714285714285,0.876141245972073,0:00:02.913195
0.5,64,0.001,16,50,1,rmsprop,relu,mean,0.7631578947368421,0.8524590163934425,0.8196428571428571,0.7842333105491,0:00:02.899793
0.5,64,0.001,16,50,1,rmsprop,relu,sum,0.868421052631579,0.9090909090909091,0.9178571428571428,0.9056669451406293,0:00:02.952388
0.5,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:05.603975
0.5,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9196428571428571,0.7368421052631579,0:00:05.586928
0.5,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428572,0.8399570354457572,0:00:05.804272
0.5,64,0.001,16,100,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.9196428571428572,0.896471949103528,0:00:05.808541
0.5,64,0.001,16,100,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8321428571428571,0.8399570354457572,0:00:06.002886
0.5,64,0.001,16,100,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9160714285714286,0.8486518019185895,0:00:05.943569
0.5,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.19464285714285712,0.7368421052631579,0:00:11.932590
0.5,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9107142857142857,0.7368421052631579,0:00:10.811778
0.5,64,0.001,16,200,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8428571428571429,0.8399570354457572,0:00:11.798693
0.5,64,0.001,16,200,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9125,0.8671679197994987,0:00:11.314896
0.5,64,0.001,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8357142857142857,0.8399570354457572,0:00:11.001913
0.5,64,0.001,16,200,1,rmsprop,relu,sum,0.8157894736842105,0.8727272727272727,0.9,0.8671679197994987,0:00:11.125562
0.75,64,0.001,16,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.1857142857142857,0.7368421052631579,0:00:00.620326
0.75,64,0.001,16,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8357142857142856,0.7368421052631579,0:00:00.553440
0.75,64,0.001,16,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8267857142857142,0.7368421052631579,0:00:00.582991
0.75,64,0.001,16,10,1,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.9214285714285715,0.7368421052631579,0:00:00.562820
0.75,64,0.001,16,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8160714285714286,0.7368421052631579,0:00:00.539948
0.75,64,0.001,16,10,1,rmsprop,relu,sum,0.8157894736842105,0.8771929824561403,0.9249999999999999,0.8486518019185895,0:00:00.550488
0.75,64,0.001,16,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:02.649511
0.75,64,0.001,16,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:02.522489
0.75,64,0.001,16,50,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8125,0.7368421052631579,0:00:03.060450
0.75,64,0.001,16,50,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857143,0.876141245972073,0:00:02.724450
0.75,64,0.001,16,50,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8089285714285713,0.7368421052631579,0:00:02.895963
0.75,64,0.001,16,50,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9160714285714285,0.876141245972073,0:00:02.950857
0.75,64,0.001,16,100,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.19464285714285712,0.7368421052631579,0:00:05.456503
0.75,64,0.001,16,100,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571428,0.7368421052631579,0:00:05.322424
0.75,64,0.001,16,100,1,adam,relu,mean,0.7894736842105263,0.8620689655172413,0.8232142857142858,0.8229949874686716,0:00:06.581635
0.75,64,0.001,16,100,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9125,0.9056669451406293,0:00:05.821154
0.75,64,0.001,16,100,1,rmsprop,relu,mean,0.7631578947368421,0.8474576271186439,0.8232142857142858,0.7989934513703613,0:00:05.847474
0.75,64,0.001,16,100,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857144,0.876141245972073,0:00:05.566300
0.75,64,0.001,16,200,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.19107142857142853,0.7368421052631579,0:00:11.210561
0.75,64,0.001,16,200,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.9178571428571428,0.7368421052631579,0:00:10.477054
0.75,64,0.001,16,200,1,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8375,0.8399570354457572,0:00:11.210541
0.75,64,0.001,16,200,1,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.9142857142857144,0.876141245972073,0:00:11.570360
0.75,64,0.001,16,200,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8303571428571429,0.8399570354457572,0:00:10.921994
0.75,64,0.001,16,200,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9160714285714286,0.876141245972073,0:00:11.701730
0.25,64,0.001,32,10,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18571428571428572,0.7368421052631579,0:00:00.454852
0.25,64,0.001,32,10,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.7607142857142857,0.7368421052631579,0:00:00.395112
0.25,64,0.001,32,10,1,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.8303571428571429,0.7368421052631579,0:00:00.390633
0.25,64,0.001,32,10,1,adam,relu,sum,0.8157894736842105,0.888888888888889,0.9285714285714286,0.8,0:00:00.457454
0.25,64,0.001,32,10,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.8214285714285714,0.7368421052631579,0:00:00.449432
0.25,64,0.001,32,10,1,rmsprop,relu,sum,0.8421052631578947,0.8928571428571428,0.9178571428571429,0.876141245972073,0:00:00.418173
0.25,64,0.001,32,50,1,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.18749999999999997,0.7368421052631579,0:00:01.949660
0.25,64,0.001,32,50,1,SGD,relu,sum,0.7368421052631579,0.8484848484848484,0.8982142857142857,0.7368421052631579,0:00:01.528260
0.25,64,0.001,32,50,1,adam,relu,mean,0.7631578947368421,0.8615384615384616,0.8160714285714286,0.7567567567567568,0:00:01.675814
0.25,64,0.001,32,50,1,adam,relu,sum,0.868421052631579,0.9090909090909091,0.9089285714285714,0.9056669451406293,0:00:01.637430
